,$\lambda$,$\lambda$,$P[\mathrm{X}]$,$P[\mathrm{X}]$,$\mathrm{X}_{\mathrm{DI}}$,$\mathrm{X}_{\mathrm{DI}}$,$P[\mathrm{PM}]$,$P[\mathrm{PM}]$,$\mathrm{PM}_{\mathrm{DI}}$,$\mathrm{PM}_{\mathrm{DI}}$,$K$,$K$,$\lambda$,$\lambda$,$P[\mathrm{X}]$,$P[\mathrm{X}]$,$\mathrm{X}_{\mathrm{DI}}$,$\mathrm{X}_{\mathrm{DI}}$,$P[\mathrm{PM}]$,$P[\mathrm{PM}]$,$\mathrm{PM}_{\mathrm{DI}}$,$\mathrm{PM}_{\mathrm{DI}}$,$K$,$K$,index
0,0.0,1.0,-0.16146545833632817,0.8735253461389799,3.8615742920141036,0.0011432403827705052,4.388886337265539,0.0003540618357585694,3.860151276952856,0.0011468716950123886,4.357514378398505,0.0003795191743147237,-2.8692143304839726,0.010200863937963312,4.279837087332294,0.0004508096318824858,2.3173117996788215,0.032468865968361516,2.1554525306276764,0.04491015801299938,2.5319648753595154,0.020871343410388807,1.7404379486980195,0.09884970110536578,$\lambda$
1,0.16146545833632817,0.8735253461389799,0.0,1.0,3.9184515344609805,0.0010071431437147429,4.420902059497734,0.00032986073040663764,3.91534258756161,0.0010141445194308746,4.395492900623561,0.00034892489089521136,-2.5191022814169184,0.02143863103120458,4.319563133411339,0.0004128030619605076,2.432573077306055,0.025649477655559864,2.2729171930360246,0.035518925304219025,2.639997633956836,0.01663668755704557,1.8699261577471067,0.07784888642643209,$P[\mathrm{X}]$
2,-3.8615742920141036,0.0011432403827705052,-3.9184515344609805,0.0010071431437147429,0.0,1.0,1.336592161609796,0.19800609952378134,-0.1959952516216352,0.8468095681122426,1.3209100548288828,0.20307913025670488,-24.392314735142214,3.05137806227832e-15,1.09059426911315,0.28983605584753364,-1.5373771009936106,0.14159375595276696,-1.4293796370792744,0.17002179908693524,-1.0189271987056303,0.3217381847573789,-2.1190123057675003,0.04825600537322874,$\mathrm{X}_{\mathrm{DI}}$
3,-4.388886337265539,0.0003540618357585694,-4.420902059497734,0.00032986073040663764,-1.336592161609796,0.19800609952378134,0.0,1.0,-1.866163724426261,0.07839880937631193,0.3131857865063966,0.7577394011761156,-40.07788112950901,4.699600058934555e-19,-0.0392279475437263,0.9691404695019485,-2.2164275632865413,0.039782906602520714,-2.014204273120165,0.059180577696369335,-1.629623995120387,0.12055549953817725,-2.7417571015951263,0.013405961504650092,$P[\mathrm{PM}]$
4,-3.860151276952856,0.0011468716950123886,-3.91534258756161,0.0010141445194308746,0.1959952516216352,0.8468095681122426,1.866163724426261,0.07839880937631193,0.0,1.0,1.65264593470232,0.11573857532409977,-32.608181106675126,1.8344828103687067e-17,1.4339830505058344,0.1687214700156667,-1.494055043343171,0.1524848122082804,-1.3834321491152604,0.1834513538390775,-0.9607806374685935,0.3493920866826169,-2.090920424337782,0.050988620074363784,$\mathrm{PM}_{\mathrm{DI}}$
5,-4.357514378398505,0.0003795191743147237,-4.395492900623561,0.00034892489089521136,-1.3209100548288828,0.20307913025670488,-0.3131857865063966,0.7577394011761156,-1.65264593470232,0.11573857532409977,0.0,1.0,-23.137690180878327,7.676492947955928e-15,-0.3011858644198069,0.7667243313443884,-2.233125037912736,0.03847584320403309,-2.052306128838738,0.05497409232916449,-1.6840354185920543,0.10943605938330506,-2.7430383279460324,0.013369390304162303,$K$
6,2.8692143304839726,0.010200863937963312,2.5191022814169184,0.02143863103120458,24.392314735142214,3.05137806227832e-15,40.07788112950901,4.699600058934555e-19,32.608181106675126,1.8344828103687067e-17,23.137690180878327,7.676492947955928e-15,,,25.814481872947706,1.1303473778993843e-15,8.058431084632538,2.2090985513255066e-07,6.935102473771342,1.7595195946105674e-06,7.939196842589169,2.731544745134544e-07,6.402918990648256,4.990766637396663e-06,$\lambda$
7,-4.279837087332294,0.0004508096318824858,-4.319563133411339,0.0004128030619605076,-1.09059426911315,0.28983605584753364,0.0392279475437263,0.9691404695019485,-1.4339830505058344,0.1687214700156667,0.3011858644198069,0.7667243313443884,-25.814481872947706,1.1303473778993843e-15,0.0,1.0,-2.1079544039355675,0.049315344440472995,-1.9343379563325347,0.06894942501145485,-1.5545412248835468,0.1374616883640616,-2.634390937702826,0.01683472456963194,$P[\mathrm{X}]$
8,-2.3173117996788215,0.032468865968361516,-2.432573077306055,0.025649477655559864,1.5373771009936106,0.14159375595276696,2.2164275632865413,0.039782906602520714,1.494055043343171,0.1524848122082804,2.233125037912736,0.03847584320403309,-8.058431084632538,2.2090985513255066e-07,2.1079544039355675,0.049315344440472995,0.0,1.0,-0.0554412901420209,0.9563976565842524,0.330532958694997,0.7448135766519894,-0.5783399621840597,0.5702005528016851,$\mathrm{X}_{\mathrm{DI}}$
9,-2.1554525306276764,0.04491015801299938,-2.2729171930360246,0.035518925304219025,1.4293796370792744,0.17002179908693524,2.014204273120165,0.059180577696369335,1.3834321491152604,0.1834513538390775,2.052306128838738,0.05497409232916449,-6.935102473771342,1.7595195946105674e-06,1.9343379563325347,0.06894942501145485,0.0554412901420209,0.9563976565842524,0.0,1.0,0.3619732971514188,0.7215865789922773,-0.48851265185601206,0.631085110577823,$P[\mathrm{PM}]$
