method,algo,problem,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,BestSol_mean,BestSol_std
Morris,CMA,Problem24,780.0,0.2,0.7333333,3.555556,0.6666667,35.0398520016029,47.28103403864661
Morris,CMA,Problem24,780.0,0.2,1.155556,4.0,1.0,41.620562116094305,67.46640991293913
Morris,CMA,Problem24,780.0,0.2,1.366667,0.8888889,0.4444444,435.79144697678095,912.3434656797482
Morris,CMA,Problem24,780.0,0.2,1.577778,1.333333,0.2222222,144.96453557674815,325.72346562434035
Morris,CMA,Problem24,780.0,0.2,1.788889,3.555556,0.6666667,38.53378245279387,57.92752886645775
Morris,CMA,Problem24,780.0,0.4,0.3111111,1.333333,0.3333333,390.909860525509,748.2573167107511
Morris,CMA,Problem24,780.0,0.4,0.3111111,1.333333,0.8888889,379.2727833892004,787.7768903175104
Morris,CMA,Problem24,780.0,0.4,0.9444444,2.666667,0.4444444,333.8878088765457,646.2243408587328
Morris,CMA,Problem24,780.0,0.4,1.366667,1.333333,0.3333333,313.45521066877126,621.9113282891561
Morris,CMA,Problem24,780.0,0.4,2.0,0.4444444,0.4444444,366.26921340938367,757.0366909942815
Morris,CMA,Problem24,780.0,0.4,2.0,2.666667,0.4444444,90.38089812633271,211.49096764800802
Morris,CMA,Problem24,780.0,0.6,0.1,2.666667,0.0,908.7381617263165,961.5761873500392
Morris,CMA,Problem24,780.0,0.6,0.1,2.666667,0.5555556,738.7094840402766,694.7517498058495
Morris,CMA,Problem24,780.0,0.6,0.7333333,4.0,0.6666667,345.2980571562984,639.784200396105
Morris,CMA,Problem24,780.0,0.6,1.155556,0.4444444,0.0,507.76384049473535,816.5679304226519
Morris,CMA,Problem24,780.0,0.6,1.155556,2.666667,0.0,346.28173287858357,685.6477639506653
Morris,CMA,Problem24,780.0,0.7,1.155556,1.777778,1.0,514.5956664857672,985.9641508667602
Morris,CMA,Problem24,780.0,0.7,1.155556,4.0,1.0,239.90282991716612,452.7769927625025
Morris,CMA,Problem24,780.0,0.7,1.788889,3.555556,0.6666667,601.185276177089,1250.7754340648999
Morris,CMA,Problem24,780.0,0.8,1.577778,4.0,0.1111111,514.4477420690307,811.8953845219771
Morris,CMA,Problem24,780.0,0.8,1.577778,4.0,0.6666667,596.257803527378,960.2745945163014
Morris,CMA,Problem24,780.0,0.9,0.3111111,1.333333,0.8888889,979.2208831111013,955.7922241696913
Morris,CMA,Problem24,780.0,0.9,0.9444444,2.666667,0.4444444,666.4423427591162,871.1793798364781
Morris,CMA,Problem24,890.0,0.1,0.1,0.0,0.2222222,1599.6017992558345,1092.6103544352056
Morris,CMA,Problem24,890.0,0.1,0.1,0.0,0.7777778,1364.2415570092978,973.6337843333957
Morris,CMA,Problem24,890.0,0.1,0.1,2.222222,0.2222222,315.8672305547645,575.5336602537641
Morris,CMA,Problem24,890.0,0.1,0.7333333,0.0,0.1111111,1030.8229616189367,1116.8024316160217
Morris,CMA,Problem24,890.0,0.1,0.7333333,2.222222,0.1111111,151.3123738125214,268.28009485085323
Morris,CMA,Problem24,890.0,0.3,1.788889,3.111111,0.4444444,78.56476394040644,181.45389781266815
Morris,CMA,Problem24,890.0,0.3,1.788889,3.111111,1.0,30.91682875398657,29.513033581075604
Morris,CMA,Problem24,890.0,0.6,0.1,2.222222,0.2222222,1147.955211293155,1043.3963691770966
Morris,CMA,Problem24,890.0,0.6,0.7333333,2.222222,0.1111111,383.9908679885804,700.9043653153774
Morris,CMA,Problem24,890.0,0.6,1.155556,2.222222,0.2222222,554.5941760269064,1112.7170125960067
Morris,CMA,Problem24,890.0,0.7,0.1,0.0,0.0,1825.3524244044893,934.633536769531
Morris,CMA,Problem24,890.0,0.7,0.1,2.222222,0.0,1052.7240338561205,941.0184087061518
Morris,CMA,Problem24,890.0,0.7,1.155556,2.222222,0.0,609.0373422987775,1067.8351976842048
Morris,CMA,Problem24,890.0,0.7,1.155556,2.222222,0.5555556,591.1076444624871,908.1852377051137
Morris,CMA,Problem24,890.0,0.8,0.3111111,1.333333,0.0,993.6043927818821,1144.600203099674
Morris,CMA,Problem24,890.0,0.8,0.7333333,0.8888889,1.0,937.3507204788345,1110.1216256032876
Morris,CMA,Problem24,890.0,0.8,0.7333333,3.111111,1.0,783.384391799867,813.2071800777796
Morris,CMA,Problem24,890.0,0.8,1.788889,3.111111,1.0,633.3577596260122,793.5654698415951
Morris,CMA,Problem24,890.0,1.0,0.1,4.0,0.3333333,1145.8349827352738,542.1688653515682
Morris,CMA,Problem25,10.0,0.1,0.733333,2.66667,0.666667,7.553972646079317e-15,2.198799286637722e-14
Morris,CMA,Problem25,10.0,0.1,1.78889,0.444444,0.666667,2.4816923659904455e-15,5.181248791902407e-15
Morris,CMA,Problem25,10.0,0.1,1.78889,2.66667,0.666667,9.538177048281628e-16,1.975931933456658e-15
Morris,CMA,Problem25,10.0,0.2,0.522222,0.0,0.222222,2.2801387365708764e-16,4.999665827240262e-16
Morris,CMA,Problem25,10.0,0.2,0.522222,0.0,0.777778,1.624474743797981e-16,4.719796538498089e-16
Morris,CMA,Problem25,10.0,0.2,1.57778,0.0,0.222222,1.1480747763611493e-17,2.468753499366829e-17
Morris,CMA,Problem25,10.0,0.2,1.57778,2.22222,0.222222,1.5329731359514952e-17,4.066061998721512e-17
Morris,CMA,Problem25,10.0,0.3,0.1,1.77778,0.111111,7.85708552195485e-18,1.9315997035386495e-17
Morris,CMA,Problem25,10.0,0.3,0.1,4.0,0.111111,4.002576639308567e-18,1.2455078883966698e-17
Morris,CMA,Problem25,10.0,0.3,1.15556,4.0,0.111111,9.084852228292694e-20,2.0160621195189873e-19
Morris,CMA,Problem25,10.0,0.4,1.57778,4.0,0.222222,3.153343774601866e-21,8.06468951916761e-21
Morris,CMA,Problem25,10.0,0.4,1.78889,2.22222,0.111111,5.097484380819609e-21,1.0364802467389145e-20
Morris,CMA,Problem25,10.0,0.5,0.311111,2.22222,1.0,4.8653831794735654e-21,1.0332907430466102e-20
Morris,CMA,Problem25,10.0,0.5,0.522222,3.55556,0.111111,1.0190692354087297e-20,2.1560950528402423e-20
Morris,CMA,Problem25,10.0,0.5,0.944444,0.444444,0.777778,4.506857726800122e-18,9.756366729486363e-18
Morris,CMA,Problem25,10.0,0.5,1.36667,2.22222,1.0,4.902206766502671e-22,1.1817452713009233e-21
Morris,CMA,Problem25,10.0,0.5,2.0,4.0,0.888889,4.286614465391073e-24,8.570099113002002e-24
Morris,CMA,Problem25,10.0,0.7,1.57778,2.22222,0.222222,4.690637174730533e-22,1.0259260866514648e-21
Morris,CMA,Problem25,10.0,0.8,0.1,1.77778,0.111111,5.112422379782833e-17,1.2052470463498807e-16
Morris,CMA,Problem25,10.0,0.8,0.1,4.0,0.111111,1.2863353059248614e-17,3.5023886698605786e-17
Morris,CMA,Problem25,10.0,0.9,0.733333,0.0,0.666667,3.3144795587633626e-12,1.017329767246537e-11
Morris,CMA,Problem25,10.0,0.9,0.733333,2.22222,0.111111,3.477886654984415e-16,7.86152546677902e-16
Morris,CMA,Problem25,10.0,0.9,0.733333,2.22222,0.666667,1.4010513186454536e-15,4.429704086042839e-15
Morris,CMA,Problem25,10.0,0.9,1.57778,4.0,0.222222,2.9892614222709118e-15,9.376195706330366e-15
Morris,CMA,Problem25,10.0,0.9,1.78889,2.22222,0.111111,2.580220833855726e-16,8.107634234006078e-16
Morris,CMA,Problem25,10.0,1.0,0.311111,0.0,0.444444,0.0014552104256708523,0.004423966607425597
Morris,CMA,Problem25,10.0,1.0,0.311111,2.22222,0.444444,1.1845928596992613e-10,3.738452812868031e-10
Morris,CMA,Problem25,10.0,1.0,0.311111,2.22222,1.0,3.2419489665287275e-10,1.0236421115708177e-09
Morris,CMA,Problem25,10.0,1.0,0.311111,2.66667,0.222222,9.245198109757782e-11,2.9139153405424597e-10
Morris,CMA,Problem25,10.0,1.0,0.522222,3.55556,0.111111,7.336192357695033e-11,2.289530386324919e-10
Morris,CMA,Problem25,10.0,1.0,0.944444,4.0,0.888889,0.27653187059853634,0.8744705567182075
Morris,CMA,Problem25,10.0,1.0,2.0,4.0,0.888889,6.96259045236171e-14,1.493009679102377e-13
Morris,CMA,Problem25,1000.0,0.1,0.1,1.7777778,0.88888889,3121.035514580347,3341.231142046018
Morris,CMA,Problem25,1000.0,0.1,0.1,4.0,0.88888889,2031.1666273605872,2795.6115956882363
Morris,CMA,Problem25,1000.0,0.2,1.3666667,1.3333333,0.11111111,1724.5459032741244,2937.2217476756878
Morris,CMA,Problem25,1000.0,0.3,0.31111111,1.7777778,0.0,1977.0953375997492,3129.8757034630125
Morris,CMA,Problem25,1000.0,0.3,0.73333333,0.44444444,0.77777778,2689.9390533938285,2527.28793095574
Morris,CMA,Problem25,1000.0,0.3,1.3666667,1.7777778,0.0,1430.9267709717021,1680.812102247499
Morris,CMA,Problem25,1000.0,0.4,1.3666667,1.7777778,0.0,2090.9122729458545,3427.703152869294
Morris,CMA,Problem25,1000.0,0.5,0.73333333,2.2222222,0.0,2210.7831022935393,2786.1044287810355
Morris,CMA,Problem25,1000.0,0.5,0.73333333,2.2222222,0.55555556,2528.883097551817,3247.400260653795
Morris,CMA,Problem25,1000.0,0.5,1.7888889,2.2222222,0.0,1514.4617047775714,2396.332734993133
Morris,CMA,Problem25,1000.0,0.5,2.0,4.0,0.0,1275.223388141299,2011.7329030726753
Morris,CMA,Problem25,1000.0,0.5,2.0,4.0,0.55555556,1738.184978017481,3385.1624256868863
Morris,CMA,Problem25,1000.0,0.6,0.1,1.7777778,0.88888889,5057.244145884538,4429.012088452315
Morris,CMA,Problem25,1000.0,0.7,0.1,3.1111111,0.0,5508.731188188237,3795.7544349882146
Morris,CMA,Problem25,1000.0,0.7,1.1555556,3.1111111,0.0,2768.426430195395,2998.177042063046
Morris,CMA,Problem25,1000.0,0.8,0.31111111,1.7777778,0.0,5473.610769024006,5129.166784750084
Morris,CMA,Problem25,1000.0,0.8,0.31111111,4.0,0.0,4627.247510510003,4055.951930442755
Morris,CMA,Problem25,1000.0,0.8,0.31111111,4.0,0.55555556,3435.978108022186,3533.382356819906
Morris,CMA,Problem25,1000.0,0.8,1.3666667,0.0,0.55555556,5589.435514028213,4598.927521916294
Morris,CMA,Problem25,1000.0,0.9,1.3666667,0.88888889,0.44444444,4742.809439049406,5129.48522884949
Morris,CMA,Problem25,1000.0,0.9,1.3666667,3.1111111,0.44444444,4173.809143733202,3834.5695474920217
Morris,CMA,Problem25,1000.0,0.9,1.3666667,3.1111111,1.0,3359.272395721278,3193.5022524956307
Morris,CMA,Problem25,1000.0,1.0,0.94444444,3.5555556,0.55555556,5552.879509037076,5070.518985967933
Morris,CMA,Problem25,1000.0,1.0,1.7888889,2.2222222,0.0,3725.0111199590706,3844.135247492432
Morris,CMA,Problem25,1000.0,1.0,2.0,4.0,0.55555556,4468.275125288692,4674.708893449153
Morris,CMA,Problem25,120.0,0.1,0.5222222,3.555556,0.3333333,0.5350101074177401,1.231554633180011
Morris,CMA,Problem25,120.0,0.1,0.9444444,0.0,0.0,0.4516327205253304,0.6733394320502529
Morris,CMA,Problem25,120.0,0.1,1.155556,1.777778,0.1111111,0.0461590649605963,0.09942399147980793
Morris,CMA,Problem25,120.0,0.1,1.155556,1.777778,0.6666667,0.10774339528831886,0.22690617465140436
Morris,CMA,Problem25,120.0,0.1,1.155556,4.0,0.6666667,0.02856554724230948,0.07064209085994017
Morris,CMA,Problem25,120.0,0.1,1.577778,1.333333,0.3333333,0.055820061028806364,0.09959110973287386
Morris,CMA,Problem25,120.0,0.1,1.577778,3.555556,0.3333333,0.07654834070974106,0.16253004524871614
Morris,CMA,Problem25,120.0,0.1,2.0,0.0,0.0,0.36241303722639184,0.6622266744149795
Morris,CMA,Problem25,120.0,0.2,0.5222222,3.555556,0.7777778,0.0025394159325342436,0.005029344290330431
Morris,CMA,Problem25,120.0,0.3,0.1,0.0,0.1111111,1.5214821284201443,1.577525462518666
Morris,CMA,Problem25,120.0,0.3,0.1,0.0,0.6666667,1.635556655172373,1.9436787976656877
Morris,CMA,Problem25,120.0,0.3,0.7333333,1.777778,0.1111111,0.03953020850583132,0.0950379154715962
Morris,CMA,Problem25,120.0,0.3,0.7333333,1.777778,0.6666667,0.08095912305883536,0.19904818005816027
Morris,CMA,Problem25,120.0,0.3,0.7333333,4.0,0.6666667,0.22820570217397468,0.7060874053250225
Morris,CMA,Problem25,120.0,0.3,1.155556,0.0,0.6666667,0.5922334823234856,0.7846695269202453
Morris,CMA,Problem25,120.0,0.3,1.788889,1.777778,0.1111111,0.014917930999920583,0.036882879195309984
Morris,CMA,Problem25,120.0,0.4,0.9444444,0.0,1.0,0.7438060770732227,0.77573599003468
Morris,CMA,Problem25,120.0,0.4,0.9444444,2.222222,1.0,0.02458909065372224,0.05271782955623565
Morris,CMA,Problem25,120.0,0.4,1.577778,1.333333,0.1111111,0.006220037981252668,0.011415742694213261
Morris,CMA,Problem25,120.0,0.4,2.0,2.222222,1.0,0.003627979817610092,0.00896983736717738
Morris,CMA,Problem25,120.0,0.5,0.1,2.666667,0.4444444,108.28165687585707,243.32520594287678
Morris,CMA,Problem25,120.0,0.5,0.1,2.666667,1.0,99.06447723182939,210.12281535432507
Morris,CMA,Problem25,120.0,0.5,1.155556,0.4444444,0.4444444,0.31213939234406374,0.5772098855421461
Morris,CMA,Problem25,120.0,0.5,1.155556,2.666667,0.4444444,0.009742318941648532,0.02180398728149147
Morris,CMA,Problem25,120.0,0.5,1.577778,1.777778,0.2222222,0.026655461587038166,0.07199150610267353
Morris,CMA,Problem25,120.0,0.6,0.1,4.0,0.6666667,335.5371431175996,720.4158247436847
Morris,CMA,Problem25,120.0,0.6,0.5222222,3.555556,0.3333333,42.617611512085034,91.43704185743526
Morris,CMA,Problem25,120.0,0.6,1.155556,4.0,0.6666667,29.787959647112388,68.96229879225973
Morris,CMA,Problem25,120.0,0.6,1.577778,3.555556,0.3333333,18.680421169945742,58.67835133387301
Morris,CMA,Problem25,120.0,0.6,1.577778,3.555556,0.8888889,35.21701109671324,76.20066219142846
Morris,CMA,Problem25,120.0,0.8,0.1,0.0,0.1111111,691.1875808834023,1462.0356936788494
Morris,CMA,Problem25,120.0,0.8,0.7333333,4.0,0.6666667,265.18863752752105,499.1504889693565
Morris,CMA,Problem25,120.0,1.0,0.5222222,1.777778,0.2222222,226.3105954010582,511.9493683984298
Morris,CMA,Problem25,120.0,1.0,0.5222222,1.777778,0.7777778,138.8816069263433,304.8394856755986
Morris,CMA,Problem25,120.0,1.0,0.5222222,4.0,0.7777778,376.8590651631329,507.93141117547816
Morris,CMA,Problem25,120.0,1.0,1.366667,3.555556,0.1111111,512.8143760968234,970.3214708536468
Morris,CMA,Problem25,120.0,1.0,1.577778,1.777778,0.2222222,95.32497999366599,258.19178539089285
Morris,CMA,Problem25,230.0,0.1,1.155556,0.4444444,0.0,2.3164694809804303,2.595044137312446
Morris,CMA,Problem25,230.0,0.1,1.788889,1.777778,0.1111111,3.1120201457059498,6.628409857039638
Morris,CMA,Problem25,230.0,0.2,0.3111111,3.111111,1.0,99.19327727342994,221.7882493197543
Morris,CMA,Problem25,230.0,0.2,1.366667,0.8888889,0.4444444,24.740281801921462,68.75382132995998
Morris,CMA,Problem25,230.0,0.2,1.366667,3.111111,0.4444444,19.42602324591781,41.81783743701231
Morris,CMA,Problem25,230.0,0.2,1.366667,3.111111,1.0,49.33755355314457,104.69654892837089
Morris,CMA,Problem25,230.0,0.2,1.577778,1.333333,0.2222222,35.86871386144822,75.7171853323177
Morris,CMA,Problem25,230.0,0.3,0.5222222,1.777778,0.6666667,103.8411445045089,221.20834976349417
Morris,CMA,Problem25,230.0,0.3,0.5222222,4.0,0.6666667,73.71506371927532,157.8700501943409
Morris,CMA,Problem25,230.0,0.6,1.155556,0.4444444,0.0,268.093677625397,567.6083537901651
Morris,CMA,Problem25,230.0,0.7,0.1,1.777778,0.4444444,357.2516269617553,460.1386390434478
Morris,CMA,Problem25,230.0,0.7,0.3111111,3.111111,1.0,389.5603461413464,551.7823163875718
Morris,CMA,Problem25,230.0,0.7,0.5222222,1.333333,0.2222222,325.64947051888885,714.4237928545456
Morris,CMA,Problem25,230.0,0.7,0.5222222,1.333333,0.7777778,559.3847765366702,1208.5016541218672
Morris,CMA,Problem25,230.0,0.7,0.5222222,3.555556,0.7777778,334.4087385507732,466.22661443205874
Morris,CMA,Problem25,230.0,0.7,1.155556,1.777778,0.4444444,352.41702346848706,743.10576179432
Morris,CMA,Problem25,230.0,0.7,1.155556,1.777778,1.0,196.60822824490688,509.84184145753073
Morris,CMA,Problem25,230.0,0.7,1.577778,1.333333,0.2222222,90.47792569415085,205.82703162586736
Morris,CMA,Problem25,230.0,0.7,1.788889,3.555556,0.6666667,335.7790037845261,712.9066107399799
Morris,CMA,Problem25,230.0,0.8,0.5222222,4.0,0.6666667,500.531670569,588.7271536826825
Morris,CMA,Problem25,230.0,0.8,1.577778,4.0,0.6666667,230.23719491350394,349.2944215856345
Morris,CMA,Problem25,230.0,0.9,0.3111111,1.333333,0.8888889,725.674000380437,880.0817234538357
Morris,CMA,Problem25,230.0,0.9,0.3111111,3.555556,0.8888889,687.8671238728716,842.2651673318916
Morris,CMA,Problem25,230.0,0.9,0.9444444,2.666667,0.4444444,579.5082136470908,872.2098440265439
Morris,CMA,Problem25,230.0,0.9,0.9444444,2.666667,1.0,444.89775789545064,598.0532731233388
Morris,CMA,Problem25,340.0,0.1,0.7333333,0.0,0.1111111,516.6652788542266,1332.9142282347057
Morris,CMA,Problem25,340.0,0.1,1.788889,0.0,0.1111111,47.416538834702294,99.40025410873366
Morris,CMA,Problem25,340.0,0.1,1.788889,0.0,0.6666667,35.68111493714325,59.73184941699299
Morris,CMA,Problem25,340.0,0.2,0.1,0.0,0.0,1799.3081021183323,2462.674543692364
Morris,CMA,Problem25,340.0,0.3,0.3111111,1.333333,0.0,570.5633684470188,1023.5047422531543
Morris,CMA,Problem25,340.0,0.3,1.366667,1.333333,0.0,134.5028575679514,274.2387042659142
Morris,CMA,Problem25,340.0,0.3,1.366667,3.555556,0.0,140.00062060254905,284.4072198285151
Morris,CMA,Problem25,340.0,0.3,1.366667,3.555556,0.5555556,117.70365682843033,241.61660292720788
Morris,CMA,Problem25,340.0,0.3,1.788889,3.111111,0.4444444,119.30681671394666,301.2583158026906
Morris,CMA,Problem25,340.0,0.5,0.1,1.777778,0.3333333,500.4177657238615,556.3734625821965
Morris,CMA,Problem25,340.0,0.5,0.1,4.0,0.3333333,477.3576839268114,551.2267282137549
Morris,CMA,Problem25,340.0,0.5,1.155556,1.777778,0.3333333,409.03181500339537,693.0404574566504
Morris,CMA,Problem25,340.0,0.5,1.155556,1.777778,0.8888889,176.31986808902911,333.31867624212776
Morris,CMA,Problem25,340.0,0.6,1.155556,2.222222,0.2222222,246.37113904929956,467.8832901202367
Morris,CMA,Problem25,340.0,0.7,0.1,0.0,0.0,6260.104595341214,6857.09499732991
Morris,CMA,Problem25,340.0,0.8,0.3111111,1.333333,0.0,1065.94810577859,1302.9449017285342
Morris,CMA,Problem25,340.0,1.0,0.1,4.0,0.3333333,2197.3436540159473,2941.0652717639164
Morris,CMA,Problem25,450.0,0.1,0.1,4.0,0.3333333,808.0850467652688,1155.364230825419
Morris,CMA,Problem25,450.0,0.1,0.1,4.0,0.8888889,770.1230834991965,903.2972168522114
Morris,CMA,Problem25,450.0,0.1,1.155556,4.0,0.3333333,209.63671590810873,290.5380094199082
Morris,CMA,Problem25,450.0,0.2,0.1,0.8888889,0.5555556,717.2427644954931,984.1243038207404
Morris,CMA,Problem25,450.0,0.2,0.1,3.111111,0.0,273.8436515356382,304.1683276828946
Morris,CMA,Problem25,450.0,0.2,0.1,3.111111,0.5555556,443.0211879063451,438.0207815613067
Morris,CMA,Problem25,450.0,0.2,1.366667,1.333333,0.1111111,212.98229344625702,389.690361358977
Morris,CMA,Problem25,450.0,0.3,0.3111111,2.222222,0.0,406.05878207273355,513.0390280170141
Morris,CMA,Problem25,450.0,0.3,0.7333333,0.4444444,0.7777778,609.8316559786174,1041.4578553394063
Morris,CMA,Problem25,450.0,0.3,1.788889,0.4444444,0.7777778,150.22773522792022,280.24745759220326
Morris,CMA,Problem25,450.0,0.3,1.788889,2.666667,0.7777778,239.54256081032767,446.7468482996564
Morris,CMA,Problem25,450.0,0.4,0.3111111,0.8888889,0.4444444,641.6980742602485,595.1928691090119
Morris,CMA,Problem25,450.0,0.4,0.3111111,4.0,0.0,535.1883619332938,615.709375672298
Morris,CMA,Problem25,450.0,0.4,1.366667,1.777778,0.0,549.5678435221673,799.7885351224019
Morris,CMA,Problem25,450.0,0.4,1.366667,4.0,0.0,374.9686589963635,677.5335637061562
Morris,CMA,Problem25,450.0,0.5,0.9444444,1.777778,0.0,668.540865701233,867.6287763941466
Morris,CMA,Problem25,450.0,0.5,0.9444444,3.555556,0.5555556,294.113203568602,474.92695180050333
Morris,CMA,Problem25,450.0,0.5,0.9444444,4.0,0.0,335.17128339751355,443.24798348972445
Morris,CMA,Problem25,450.0,0.5,2.0,1.333333,0.0,350.0099949173868,794.6675105781711
Morris,CMA,Problem25,450.0,0.5,2.0,3.555556,0.0,355.05902581752616,578.4536833955443
Morris,CMA,Problem25,450.0,0.5,2.0,3.555556,0.5555556,411.28706509336996,679.2459021796498
Morris,CMA,Problem25,450.0,0.5,2.0,4.0,0.0,442.6890056052581,571.0405352980882
Morris,CMA,Problem25,450.0,0.7,0.1,3.111111,0.0,1141.1195130501426,1218.5026791306593
Morris,CMA,Problem25,450.0,0.7,0.3111111,3.555556,0.1111111,777.6187692526967,879.870255658553
Morris,CMA,Problem25,450.0,0.7,0.3111111,3.555556,0.6666667,788.4420889257209,835.3271175430975
Morris,CMA,Problem25,450.0,0.7,1.366667,1.333333,0.1111111,532.5317528007414,619.6582191096235
Morris,CMA,Problem25,450.0,0.7,1.366667,3.555556,0.1111111,477.080900976662,623.6320884977811
Morris,CMA,Problem25,450.0,0.8,0.3111111,2.222222,0.0,1645.852819725118,2456.901152038187
Morris,CMA,Problem25,450.0,0.8,0.3111111,2.222222,0.5555556,917.84413962151,1062.8729893026332
Morris,CMA,Problem25,450.0,0.8,0.3111111,4.0,0.5555556,2471.72800362956,3525.6742139385706
Morris,CMA,Problem25,450.0,0.8,1.366667,0.0,0.5555556,4271.056623886669,4506.809556027225
Morris,CMA,Problem25,450.0,0.8,1.366667,2.222222,0.5555556,213.57392405150932,197.09660035260742
Morris,CMA,Problem25,450.0,0.8,1.788889,2.666667,0.2222222,409.46883364140547,648.6256819876317
Morris,CMA,Problem25,450.0,0.8,1.788889,2.666667,0.7777778,304.9873326092145,400.22685861121204
Morris,CMA,Problem25,450.0,0.9,0.3111111,0.8888889,0.4444444,2040.1062687287776,2911.498256413563
Morris,CMA,Problem25,450.0,0.9,0.3111111,4.0,0.0,2882.857263011719,4703.341297552435
Morris,CMA,Problem25,450.0,0.9,0.3111111,4.0,0.5555556,1495.3417136451562,1730.8711627738037
Morris,CMA,Problem25,450.0,0.9,1.366667,0.8888889,0.4444444,937.7883769198434,1335.2484169471113
Morris,CMA,Problem25,450.0,1.0,0.9444444,3.555556,0.5555556,1766.1199563799128,2141.20140441502
Morris,CMA,Problem25,450.0,1.0,1.788889,0.0,0.0,5162.027758211463,5093.586907908925
Morris,CMA,Problem25,450.0,1.0,1.788889,2.222222,0.0,1277.9346538549903,1850.140146912596
Morris,CMA,Problem25,560.0,0.1,0.7333333,2.666667,0.1111111,579.7463980818834,706.1263957353677
Morris,CMA,Problem25,560.0,0.1,0.7333333,2.666667,0.6666667,223.0289130591766,311.95122606256
Morris,CMA,Problem25,560.0,0.2,0.5222222,0.0,0.7777778,2982.3679049151187,3184.631925252171
Morris,CMA,Problem25,560.0,0.3,0.1,1.777778,0.1111111,633.7346009427538,634.3081174415519
Morris,CMA,Problem25,560.0,0.3,0.1,1.777778,0.6666667,1010.9655416711273,1175.3537272071142
Morris,CMA,Problem25,560.0,0.3,0.1,4.0,0.6666667,761.6100515505108,709.8858964314906
Morris,CMA,Problem25,560.0,0.3,1.155556,4.0,0.1111111,433.4713313822208,535.9293584810456
Morris,CMA,Problem25,560.0,0.3,1.155556,4.0,0.6666667,390.74696391795976,514.6015602038482
Morris,CMA,Problem25,560.0,0.4,1.788889,2.222222,0.1111111,457.92172296828596,760.293249550772
Morris,CMA,Problem25,560.0,0.5,0.3111111,0.4444444,0.2222222,2324.173962158876,3552.3787045338886
Morris,CMA,Problem25,560.0,0.5,0.9444444,0.4444444,0.7777778,2094.4913008997073,3753.3249721167754
Morris,CMA,Problem25,560.0,0.5,0.9444444,2.666667,0.2222222,362.02354796311664,466.2909804596325
Morris,CMA,Problem25,560.0,0.5,0.9444444,2.666667,0.7777778,418.6628131711139,505.897117189841
Morris,CMA,Problem25,560.0,0.5,1.366667,0.4444444,0.2222222,1643.9549371129992,2769.1046246890737
Morris,CMA,Problem25,560.0,0.5,1.366667,0.4444444,0.7777778,1223.8556971577282,2121.0591743416294
Morris,CMA,Problem25,560.0,0.5,1.366667,2.222222,1.0,410.8752219119136,602.6473520882307
Morris,CMA,Problem25,560.0,0.5,2.0,2.666667,0.2222222,412.92455247632716,494.2457698722964
Morris,CMA,Problem25,560.0,0.6,0.7333333,2.666667,0.1111111,966.3582211323908,1288.5332247209974
Morris,CMA,Problem25,560.0,0.8,1.155556,4.0,0.6666667,1074.5287268133488,1517.7620946209993
Morris,CMA,Problem25,560.0,0.9,0.5222222,1.777778,0.7777778,1977.5450882663554,2572.8259406462994
Morris,CMA,Problem25,560.0,0.9,0.5222222,4.0,0.7777778,2994.467006760514,5032.34977807435
Morris,CMA,Problem25,560.0,0.9,1.577778,4.0,0.2222222,1709.6007389899726,2652.812357697568
Morris,CMA,Problem25,560.0,0.9,1.577778,4.0,0.7777778,1850.481691845832,3376.936710198723
Morris,CMA,Problem25,560.0,1.0,0.3111111,0.4444444,0.2222222,3855.478139669895,3576.290205035475
Morris,CMA,Problem25,560.0,1.0,0.3111111,2.666667,0.2222222,3540.856887033214,4158.258000441383
Morris,CMA,Problem25,560.0,1.0,0.5222222,1.333333,0.1111111,1813.9258814601503,1759.225655020191
Morris,CMA,Problem25,560.0,1.0,0.5222222,3.555556,0.1111111,2610.5111484819777,4197.251058240844
Morris,CMA,Problem25,560.0,1.0,0.9444444,1.777778,0.3333333,1942.754681687506,3233.4241512509425
Morris,CMA,Problem25,560.0,1.0,0.9444444,4.0,0.3333333,2265.9220707557083,3583.386852906754
Morris,CMA,Problem25,560.0,1.0,0.9444444,4.0,0.8888889,2008.0410774992074,2635.3751936757812
Morris,CMA,Problem25,560.0,1.0,1.577778,1.333333,0.1111111,1825.7222967654259,2885.203024100389
Morris,CMA,Problem25,560.0,1.0,1.577778,1.333333,0.6666667,1704.6061580409419,2725.1334794605264
Morris,CMA,Problem25,560.0,1.0,2.0,2.666667,0.2222222,1692.3215165784502,2373.370570402641
Morris,CMA,Problem25,670.0,0.1,1.155556,1.777778,0.1111111,436.6919401596192,629.1915819491985
Morris,CMA,Problem25,670.0,0.1,1.577778,3.555556,0.3333333,360.90970399140673,577.7597323554024
Morris,CMA,Problem25,670.0,0.1,2.0,0.0,0.0,1804.5853903111524,3042.1049799687025
Morris,CMA,Problem25,670.0,0.2,0.5222222,1.333333,0.2222222,819.282806153662,1238.071803701453
Morris,CMA,Problem25,670.0,0.2,0.5222222,3.555556,0.2222222,384.9230242105292,412.1455366796007
Morris,CMA,Problem25,670.0,0.2,0.5222222,3.555556,0.7777778,454.6917941215637,422.2683299952766
Morris,CMA,Problem25,670.0,0.2,1.577778,1.333333,0.2222222,339.9424160026037,477.46530298301485
