method,algo,problem,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,BestSol_mean,BestSol_std
Morris,CMA,Problem1,120.0,0.1,1.155556,1.777778,0.1111111,21951.128753661687,47146.23340109576
Morris,CMA,Problem1,120.0,0.1,1.155556,1.777778,0.6666667,17641.030305307882,37006.22388282854
Morris,CMA,Problem1,120.0,0.1,1.155556,4.0,0.6666667,13232.862176410092,28527.39415560913
Morris,CMA,Problem1,120.0,0.1,1.577778,1.333333,0.3333333,20983.694375614818,44532.481835391256
Morris,CMA,Problem1,120.0,0.1,1.577778,3.555556,0.3333333,18018.24340832675,37793.36821621465
Morris,CMA,Problem1,120.0,0.1,2.0,0.0,0.0,14654.372127773851,29913.043756907853
Morris,CMA,Problem1,120.0,0.2,0.5222222,3.555556,0.7777778,2358.1299756415283,5121.776912545833
Morris,CMA,Problem1,120.0,0.3,0.1,0.0,0.1111111,23930.130252052353,49575.305826847725
Morris,CMA,Problem1,120.0,0.3,0.1,0.0,0.6666667,20970.61727503758,43196.888141512536
Morris,CMA,Problem1,120.0,0.3,0.7333333,1.777778,0.1111111,1336.1027280673502,2766.823661179708
Morris,CMA,Problem1,120.0,0.3,0.7333333,1.777778,0.6666667,1074.1089932495165,2165.987410715628
Morris,CMA,Problem1,120.0,0.3,0.7333333,4.0,0.6666667,2552.046807248661,5194.423492779007
Morris,CMA,Problem1,120.0,0.3,1.155556,0.0,0.6666667,10137.652080510697,22536.535702822293
Morris,CMA,Problem1,120.0,0.3,1.788889,1.777778,0.1111111,387.70776263006417,730.4698966186509
Morris,CMA,Problem1,120.0,0.4,0.9444444,0.0,1.0,10895.08383951037,22782.416979166286
Morris,CMA,Problem1,120.0,0.4,0.9444444,2.222222,1.0,1118.8842442641057,2440.3147778468833
Morris,CMA,Problem1,120.0,0.4,1.577778,1.333333,0.1111111,517.4892320539642,1026.0153639584223
Morris,CMA,Problem1,120.0,0.4,2.0,2.222222,1.0,508.1662940212221,1044.1718777531332
Morris,CMA,Problem1,120.0,0.5,0.1,2.666667,0.4444444,3309.9966371190494,6103.099813745017
Morris,CMA,Problem1,120.0,0.5,0.1,2.666667,1.0,4051.787515147429,8064.861911223393
Morris,CMA,Problem1,120.0,0.5,1.155556,0.4444444,0.4444444,2141.2093409721606,4895.215111604788
Morris,CMA,Problem1,120.0,0.5,1.155556,2.666667,0.4444444,1778.7721071628189,3644.4477050375713
Morris,CMA,Problem1,120.0,0.5,1.577778,1.777778,0.2222222,763.4015178233568,1506.4557834413624
Morris,CMA,Problem1,120.0,0.6,0.1,4.0,0.6666667,6553.004182767524,7496.71571083139
Morris,CMA,Problem1,120.0,0.6,0.5222222,3.555556,0.3333333,4340.478882040851,8568.527494123602
Morris,CMA,Problem1,120.0,0.6,1.155556,4.0,0.6666667,2847.031352813844,5518.541600818355
