,$\lambda$,$\lambda$,$P[\mathrm{X}]$,$P[\mathrm{X}]$,$\mathrm{X}_{\mathrm{DI}}$,$\mathrm{X}_{\mathrm{DI}}$,$P[\mathrm{PM}]$,$P[\mathrm{PM}]$,$\mathrm{PM}_{\mathrm{DI}}$,$\mathrm{PM}_{\mathrm{DI}}$,$Mode$,$Mode$,$\epsilon_N$,$\epsilon_N$,$\lambda$,$\lambda$,$P[\mathrm{X}]$,$P[\mathrm{X}]$,$\mathrm{X}_{\mathrm{DI}}$,$\mathrm{X}_{\mathrm{DI}}$,$P[\mathrm{PM}]$,$P[\mathrm{PM}]$,$\mathrm{PM}_{\mathrm{DI}}$,$\mathrm{PM}_{\mathrm{DI}}$,$Mode$,$Mode$,$\epsilon_N$,$\epsilon_N$,index
0,0.0,1.0,0.7711448091403209,0.4506260294803279,1.6387092507532706,0.11863459780366874,-0.42579031051788685,0.675308384953134,-0.5872560006683727,0.564326262401203,2.268110584211347,0.035864604378586226,1.273850766542717,0.21891959314760756,0.9187346576522213,0.37038235507709105,0.2561090976590778,0.8007706536539616,0.6529721938312357,0.5220277043997679,2.1888239274407573,0.04203354322907971,1.6341256722203727,0.11960043033590366,-1.0811482113226858,0.2939040423770649,0.5778779374541161,0.5705058159638439,$\lambda$
1,-0.7711448091403209,0.4506260294803279,0.0,1.0,1.0248518466061978,0.319009809221642,-1.5415304324592447,0.14058450550810966,-1.7090965324862601,0.10461758951038849,1.8474704257243506,0.08118216718025938,0.5635425597495346,0.5800190695388816,0.3075401263294219,0.7619622502708404,-0.5662698331011464,0.5782029889547845,-0.24016993904316275,0.8129124519397157,1.7464477677630443,0.09777569189765198,1.0264097890990864,0.3182950928924964,-2.309169936426102,0.03300938475304113,-0.3091583998654338,0.760751018324125,$P[\mathrm{X}]$
2,-1.6387092507532706,0.11863459780366874,-1.0248518466061978,0.319009809221642,0.0,1.0,-3.02071483184529,0.0073466795026753415,-3.151536156251342,0.005519707881256072,1.1505604127414542,0.26496937423251843,-0.531640257196744,0.6014754571043421,-0.40510847750379475,0.690171878582325,-1.5694495853455692,0.1339549649074145,-1.5701452940113871,0.13379317021319143,1.025335698005684,0.3187877172889673,0.04719268652682965,0.9628793256899848,-3.8531483404003692,0.001164910886206942,-1.5772486287052132,0.13215057779509418,$\mathrm{X}_{\mathrm{DI}}$
3,0.42579031051788685,0.675308384953134,1.5415304324592447,0.14058450550810966,3.02071483184529,0.0073466795026753415,0.0,1.0,-0.22365392732882863,0.8255453296215209,3.6882686009243693,0.001682035471027943,2.403913395952189,0.027207394122857987,1.50608528343849,0.14939311462253999,0.8097277634953284,0.4286717396993275,1.5357337968789546,0.1419947390518431,3.5725320337426325,0.0021761594211528695,2.940219834132666,0.008750120113252356,-0.8763420033809988,0.39238954130933335,1.388847302993168,0.1818255197484194,$P[\mathrm{PM}]$
4,0.5872560006683727,0.564326262401203,1.7090965324862601,0.10461758951038849,3.151536156251342,0.005519707881256072,0.22365392732882863,0.8255453296215209,0.0,1.0,3.7952507780208515,0.0013253427177589213,2.55728817197311,0.019795683998296506,1.6447631029718175,0.11736912732418654,0.9834580363670987,0.3384174161950485,1.7213396747541057,0.10233077681310937,3.683476614851068,0.0017000807442684217,3.0739615623921117,0.006541221422335123,-0.6362487728813091,0.532622046345153,1.5745232077728324,0.13277879686833652,$\mathrm{PM}_{\mathrm{DI}}$
5,-2.268110584211347,0.035864604378586226,-1.8474704257243506,0.08118216718025938,-1.1505604127414542,0.26496937423251843,-3.6882686009243693,0.001682035471027943,-3.7952507780208515,0.0013253427177589213,0.0,1.0,-1.5424019470179087,0.14037349268825328,-1.0793619872076283,0.2946779376984915,-2.283209547499187,0.03478906534899986,-2.4489721422936532,0.024796056366984842,-0.10585849637174978,0.9168654291194058,-1.0594727628281668,0.3033952759415643,-4.4272952671186285,0.00032523222936993673,-2.4253332917129153,0.026034939208486874,$Mode$
6,-1.273850766542717,0.21891959314760756,-0.5635425597495346,0.5800190695388816,0.531640257196744,0.6014754571043421,-2.403913395952189,0.027207394122857987,-2.55728817197311,0.019795683998296506,1.5424019470179087,0.14037349268825328,0.0,1.0,-0.08758385642977458,0.9311744560007098,-1.1385223659406691,0.26982931469578525,-0.9646771758624719,0.34748910116021137,1.4235302369690905,0.17168582424532652,0.5488713891977495,0.5898380362568376,-3.2329632668343025,0.004615368094077685,-1.0076824463036387,0.32696188830954753,$\epsilon_N$
7,-0.9187346576522213,0.37038235507709105,-0.3075401263294219,0.7619622502708404,0.40510847750379475,0.690171878582325,-1.50608528343849,0.14939311462253999,-1.6447631029718175,0.11736912732418654,1.0793619872076283,0.2946779376984915,0.08758385642977458,0.9311744560007098,0.0,1.0,-0.7513134894166487,0.4621747182845749,-0.5118107155733428,0.6150053781112459,1.0050788750807593,0.3281798436427864,0.4244075064577151,0.6762979809608388,-2.1175241551641446,0.048397352366485354,-0.5601617745493168,0.5822743422209654,$\lambda$
8,-0.2561090976590778,0.8007706536539616,0.5662698331011464,0.5782029889547845,1.5694495853455692,0.1339549649074145,-0.8097277634953284,0.4286717396993275,-0.9834580363670987,0.3384174161950485,2.283209547499187,0.03478906534899986,1.1385223659406691,0.26982931469578525,0.7513134894166487,0.4621747182845749,0.0,1.0,0.4164919194710098,0.6819743640330099,2.1910242997495994,0.04184993954015849,1.5595176621388482,0.13628269109099378,-1.5408632566543352,0.14074622216609084,0.33412751843729765,0.742144756630482,$P[\mathrm{X}]$
9,-0.6529721938312357,0.5220277043997679,0.24016993904316275,0.8129124519397157,1.5701452940113871,0.13379317021319143,-1.5357337968789546,0.1419947390518431,-1.7213396747541057,0.10233077681310937,2.4489721422936532,0.024796056366984842,0.9646771758624719,0.34748910116021137,0.5118107155733428,0.6150053781112459,-0.4164919194710098,0.6819743640330099,0.0,1.0,2.325980009566345,0.0319024445966158,1.535831387426992,0.14197089956015777,-2.4078990929538615,0.02698555495647099,-0.09171177778410596,0.9279400042172509,$\mathrm{X}_{\mathrm{DI}}$
