method,algo,problem,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,BestSol_mean,BestSol_std
Morris,CMA,Problem2,10.0,0.46,1.62,4.0,0.4,4.341821978548373e+19,1.2264832053573917e+20
Morris,CMA,Problem2,10.0,0.46,1.62,4.0,1.0,9.619000049717518e+20,5.180515904357553e+21
Morris,CMA,Problem2,10.0,0.64,0.1,2.4,0.6,7.861982753809727e+19,4.080113452252152e+20
Morris,CMA,Problem2,10.0,1.0,0.48,1.6,0.2,7.447045296531609e+20,3.6581381164418193e+21
Morris,CMA,Problem2,10.0,1.0,0.48,1.6,0.4,1.1270071997106179e+21,4.827395648814053e+21
Morris,CMA,Problem2,10.0,1.0,0.48,1.6,0.8,1.9252834650748108e+21,9.046086015597802e+21
Morris,CMA,Problem2,10.0,1.0,0.48,4.0,0.2,6.869143908695279e+20,3.403499297769334e+21
Morris,CMA,Problem2,10.0,1.0,1.62,1.6,0.8,1.5454859984283677e+20,7.716289813315851e+20
Morris,CMA,Problem2,1000.0,0.1,0.1,0.8,0.0,3.5934472890060132e+19,1.7485358084430594e+20
Morris,CMA,Problem2,1000.0,0.1,0.1,0.8,0.6,8.27303974487603e+20,4.4462227081071983e+21
Morris,CMA,Problem2,1000.0,0.1,0.1,3.2,0.6,2.0147903731655703e+18,3.1553571619749816e+18
Morris,CMA,Problem2,1000.0,0.1,0.86,0.8,0.2,2.0337947951313564e+19,6.993310507289539e+19
Morris,CMA,Problem2,1000.0,0.1,1.24,3.2,0.6,3.198839697583136e+20,1.7248286892244185e+21
Morris,CMA,Problem2,1000.0,0.1,2.0,0.8,0.2,5.662404249735743e+20,2.680768607159221e+21
Morris,CMA,Problem2,1000.0,0.1,2.0,3.2,0.2,3.7104400587293794e+19,1.0793525153994614e+20
Morris,CMA,Problem2,1000.0,0.1,2.0,3.2,0.8,1.0127172106876285e+21,5.068096499596359e+21
Morris,CMA,Problem2,1000.0,0.46,0.1,4.0,0.6,8.318870810649104e+19,2.989389951080871e+20
Morris,CMA,Problem2,1000.0,1.0,0.1,4.0,0.6,4.9524824216721365e+20,2.1028526384839923e+21
Morris,CMA,Problem2,1000.0,1.0,1.24,4.0,0.6,7.038070654986372e+18,2.421085635339679e+19
Morris,CMA,Problem2,208.0,0.1,1.24,2.4,1.0,1.3557967174000148e+19,3.6463863182589895e+19
Morris,CMA,Problem2,208.0,0.28,0.86,1.6,0.6,9.506206542037834e+19,3.89984711671662e+20
Morris,CMA,Problem2,208.0,0.28,2.0,1.6,0.6,9.720758788699034e+19,3.1895413177245676e+20
Morris,CMA,Problem2,208.0,0.28,2.0,3.2,0.0,2.6881165660682236e+19,1.0328224880608512e+20
Morris,CMA,Problem2,208.0,0.28,2.0,3.2,0.6,2.5316896427881854e+20,1.0880738339231468e+21
Morris,CMA,Problem2,208.0,0.82,0.86,1.6,0.0,1.343361102922866e+20,4.3212816116818136e+20
Morris,CMA,Problem2,208.0,0.82,0.86,1.6,0.6,1.4004335034669757e+21,7.254238005342111e+21
Morris,CMA,Problem2,208.0,0.82,0.86,4.0,0.0,9.739698520352385e+18,4.8027167258022986e+19
Morris,CMA,Problem2,208.0,0.82,2.0,1.6,0.6,4.6562618852434534e+19,1.2196112123008262e+20
Morris,CMA,Problem2,406.0,0.1,0.86,0.8,0.2,1.250929648069245e+20,5.3622391002038554e+20
Morris,CMA,Problem2,406.0,0.1,1.24,3.2,0.6,1.4746565582055073e+18,3.173342043781241e+18
Morris,CMA,Problem2,406.0,0.64,0.86,0.8,0.2,1.8517791979925926e+19,4.64137084047193e+19
Morris,CMA,Problem2,406.0,0.64,1.24,3.2,0.6,3.0211920876174287e+19,1.5359187322311482e+20
Morris,CMA,Problem2,406.0,1.0,1.24,1.6,0.0,3.868281214940423e+19,1.7486640566311544e+20
Morris,CMA,Problem2,406.0,1.0,1.24,4.0,0.0,6.4667252401578844e+19,2.3357929903103384e+20
Morris,CMA,Problem2,406.0,1.0,1.24,4.0,0.6,8.195814434985445e+19,3.632458263475212e+20
Morris,CMA,Problem2,604.0,0.64,0.1,2.4,0.0,2.862836726007311e+19,1.0850958415613107e+20
Morris,CMA,Problem2,604.0,0.64,0.1,2.4,0.6,2.8499412339585283e+20,1.4752270537175961e+21
Morris,CMA,Problem2,604.0,0.64,1.24,0.0,0.0,1.2098034327614123e+21,4.093563112260844e+21
Morris,CMA,Problem2,604.0,0.64,1.24,2.4,0.0,3.135805363204606e+20,1.1321525441519038e+21
Morris,CMA,Problem2,604.0,1.0,0.48,1.6,0.4,7.43910919764272e+19,3.997315732846017e+20
Morris,CMA,Problem2,604.0,1.0,1.62,1.6,0.8,7.016836616658171e+20,3.662977530727893e+21
Morris,CMA,Problem2,802.0,0.1,0.1,0.0,0.4,1.6963181335004594e+20,6.118673020456664e+20
Morris,CMA,Problem2,802.0,0.1,1.24,0.0,0.4,5.812527916186751e+19,1.4170306765649443e+20
Morris,CMA,Problem2,802.0,0.1,1.24,2.4,0.4,2.3812007350001672e+19,1.0535464323537361e+20
Morris,CMA,Problem2,802.0,0.1,1.24,2.4,1.0,1.0311426063744242e+19,4.1739073397972795e+19
