pop,pSBX,sbxDI,pm,pmDI,mode,neighbour,pop,pSBX,sbxDI,pm,pmDI,mode,neighbour
9.14617,9.58458,9.23178,8.19568,7.63491,10.2667,9.14638,-4.29612,-4.22637,-4.1441,-3.10627,-1.75726,-5.49172,-4.03561
4.4615,5.6807,5.7527,5.0859,5.0187,4.7171,5.1224,-0.53865,-3.018,-3.4121,-2.4984,-2.1907,-1.9884,-2.5917
15.8603,16.5866,17.6809,15.4273,13.955,18.1166,18.0189,-7.03796,-7.25266,-8.96198,-6.51514,-4.30248,-9.49218,-9.26592
3.3545,4.1475,4.838,3.6623,3.1009,7.0743,4.4855,-1.0285,-2.144,-2.7391,-1.8563,-0.94376,-4.299,-2.6052
1.037,1.037,1.037,1.037,1.037,1.037,1.037,-0.037037,-0.037037,-0.037037,-0.037037,-0.037037,-0.037037,-0.037037
17.9216,16.3398,15.1716,11.5133,10.5523,19.1795,16.4304,-9.66134,-7.91113,-6.86313,-2.96192,-1.56802,-11.0509,-8.057
-0.109,0.57785,0.57688,0.010363,-0.3745,3.0808,0.45139,0.47258,-0.54468,-0.50425,0.047357,0.33731,-0.97181,-0.44823
5.0301,5.6112,5.4354,4.461,3.8118,9.7135,5.5178,-1.9843,-2.1156,-2.3181,-1.541,-0.5982,-6.2498,-2.4566
