method,algo,problem,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,BestSol_mean
Morris,CMA,Problem2,208,0.82,0.86,1.6,0.6,1.40E+21
Morris,CMA,Problem2,208,0.82,0.86,4,0,9.74E+18
Morris,CMA,Problem2,208,0.82,2,1.6,0.6,4.66E+19
Morris,CMA,Problem2,406,0.1,0.86,0.8,0.2,1.25E+20
Morris,CMA,Problem2,406,0.1,1.24,3.2,0.6,1.47E+18
Morris,CMA,Problem2,406,0.64,0.86,0.8,0.2,1.85E+19
Morris,CMA,Problem2,406,0.64,1.24,3.2,0.6,3.02E+19
Morris,CMA,Problem2,406,1,1.24,1.6,0,3.87E+19
Morris,CMA,Problem2,406,1,1.24,4,0,6.47E+19
Morris,CMA,Problem2,406,1,1.24,4,0.6,8.20E+19
Morris,CMA,Problem2,604,0.64,0.1,2.4,0,2.86E+19
Morris,CMA,Problem2,604,0.64,0.1,2.4,0.6,2.85E+20
Morris,CMA,Problem2,604,0.64,1.24,0,0,1.21E+21
Morris,CMA,Problem2,604,0.64,1.24,2.4,0,3.14E+20
Morris,CMA,Problem2,604,1,0.48,1.6,0.4,7.44E+19
Morris,CMA,Problem2,604,1,1.62,1.6,0.8,7.02E+20
Morris,CMA,Problem2,802,0.1,0.1,0,0.4,1.70E+20
Morris,CMA,Problem2,802,0.1,1.24,0,0.4,5.81E+19
Morris,CMA,Problem2,802,0.1,1.24,2.4,0.4,2.38E+19
Morris,CMA,Problem2,802,0.1,1.24,2.4,1,1.03E+19
Morris,CMA,Problem2,802,0.28,0.86,0.8,0.6,1.16E+21
Morris,CMA,Problem2,802,0.28,2,0.8,0.6,1.02E+19
Morris,CMA,Problem2,802,0.28,2,3.2,0.6,1.06E+20
Morris,CMA,Problem2,802,0.64,0.1,0,0.4,1.38E+20
Morris,CMA,Problem2,802,0.82,0.86,0.8,0.6,1.30E+21
Morris,CMA,Problem2,802,0.82,0.86,1.6,0.6,2.18E+21
Morris,CMA,Problem2,802,0.82,0.86,4,0,7.22E+20
Morris,CMA,Problem2,802,0.82,0.86,4,0.6,1.26E+20
Morris,CMA,Problem2,802,0.82,2,1.6,0.6,5.08E+19
Morris,CMA,Problem2,802,0.82,2,4,0,7.57E+20
Morris,CMA,Problem3,10,0.1,0.1,2.4,0.6,1259528.013
Morris,CMA,Problem3,10,0.46,0.48,1.6,0.4,1529749.35
Morris,CMA,Problem3,10,0.46,0.48,4,0.2,2219372.131
Morris,CMA,Problem3,10,0.46,0.48,4,0.4,1896924.537
Morris,CMA,Problem3,10,0.46,1.62,4,0.4,1049087.208
Morris,CMA,Problem3,10,0.46,1.62,4,1,1533269.66
Morris,CMA,Problem3,10,0.64,0.1,2.4,0.6,1512277.593
Morris,CMA,Problem3,10,1,0.48,1.6,0.2,1757060.728
Morris,CMA,Problem3,10,1,0.48,1.6,0.4,1502534.753
Morris,CMA,Problem3,10,1,0.48,1.6,0.8,1677734.29
Morris,CMA,Problem3,10,1,0.48,4,0.2,1292497.407
Morris,CMA,Problem3,10,1,1.62,1.6,0.8,1463951.467
Morris,CMA,Problem3,1000,0.1,0.1,0.8,0,1828263.283
Morris,CMA,Problem3,1000,0.1,0.1,0.8,0.6,1695742.418
Morris,CMA,Problem3,1000,0.1,0.1,3.2,0.6,1339203.553
Morris,CMA,Problem3,1000,0.1,0.86,0.8,0.2,1366776.127
Morris,CMA,Problem3,1000,0.1,1.24,3.2,0.6,1745542.987
Morris,CMA,Problem3,1000,0.1,2,0.8,0.2,1684726.459
Morris,CMA,Problem3,1000,0.1,2,3.2,0.2,1241807.54
Morris,CMA,Problem3,1000,0.1,2,3.2,0.8,1687752.529
Morris,CMA,Problem3,1000,0.46,0.1,4,0.6,1879026.351
Morris,CMA,Problem3,1000,1,0.1,4,0.6,1670092.627
