method,algo,problem,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,BestSol_mean
SOBOL,CMA,Problem5,662.3853,0.9340523,1.182911,1.56737,0.6653095,451851079.5
SOBOL,CMA,Problem5,663.6579,0.1504847,0.830563,3.460197,0.06544,444179245.1
SOBOL,CMA,Problem5,663.6579,0.5418197,0.5708663,3.460197,0.06544,434595962.2
SOBOL,CMA,Problem5,663.6579,0.5418197,0.830563,2.909032,0.06544,456465045.3
SOBOL,CMA,Problem5,663.6579,0.5418197,0.830563,3.460197,0.06544,474862603.7
SOBOL,CMA,Problem5,663.6579,0.5418197,0.830563,3.460197,0.977074,487312908.7
SOBOL,CMA,Problem5,671.37,0.3968368,0.6316843,3.939827,0.1088956,471918635.9
SOBOL,CMA,Problem5,671.37,0.9862196,1.152388,0.3801557,0.7517646,475627817.5
SOBOL,CMA,Problem5,673.3301,0.6554033,0.3542167,3.802444,0.3422663,472388480.6
SOBOL,CMA,Problem5,673.3301,0.6683287,0.3668464,3.990456,0.1724182,474286047.3
SOBOL,CMA,Problem5,68.9175,0.407094,0.486071,2.70654,0.524744,471937568.2
SOBOL,CMA,Problem5,68.9175,0.751505,0.146082,2.96649,0.0922915,476587502.3
SOBOL,CMA,Problem5,683.0787,0.1724478,1.227789,0.2393473,0.1444047,490868362.1
SOBOL,CMA,Problem5,683.0787,0.6723116,0.8485379,3.326492,0.2868852,485060263
SOBOL,CMA,Problem5,688.0437,0.116046,0.3941034,0.7643004,0.1165783,531719939.5
SOBOL,CMA,Problem5,688.0437,0.116046,0.3941034,0.7643004,0.4936286,447512208.3
SOBOL,CMA,Problem5,688.0437,0.116046,0.3941034,2.028409,0.1165783,473465375.2
SOBOL,CMA,Problem5,688.0437,0.116046,1.512283,0.7643004,0.1165783,428898458.4
SOBOL,CMA,Problem5,688.0437,0.2521854,0.3941034,0.7643004,0.1165783,461352657
SOBOL,CMA,Problem5,691.7862,0.8000291,1.01043,1.792672,0.5329894,476494831
SOBOL,CMA,Problem5,691.7862,0.8000291,1.01043,1.96878,0.5329894,479266346.4
SOBOL,CMA,Problem5,691.7862,0.8000291,1.01043,1.96878,0.5443055,499307491.6
SOBOL,CMA,Problem5,691.7862,0.8000291,1.389618,1.96878,0.5329894,471806098.4
SOBOL,CMA,Problem5,691.7862,0.8369596,1.01043,1.96878,0.5329894,470092832.6
SOBOL,CMA,Problem5,697.7647,0.5351609,0.8323326,2.450313,0.5644615,468401237.9
SOBOL,CMA,Problem5,697.7647,0.5351609,0.8323326,2.450313,0.8331874,474831208.6
SOBOL,CMA,Problem5,697.7647,0.5351609,0.8323326,2.68698,0.8331874,485620821.1
SOBOL,CMA,Problem5,697.7647,0.5351609,0.9110998,2.450313,0.8331874,459938628.1
SOBOL,CMA,Problem5,697.7647,0.8154487,0.8323326,2.450313,0.8331874,488166121.4
SOBOL,CMA,Problem5,699.6566,0.4666358,0.9362349,2.137308,0.1990447,463816766.4
SOBOL,CMA,Problem5,699.6566,0.4666358,1.063419,1.034291,0.1990447,467994835.8
SOBOL,CMA,Problem5,699.6566,0.4666358,1.063419,2.137308,0.1990447,482459401.7
SOBOL,CMA,Problem5,699.6566,0.4666358,1.063419,2.137308,0.4802977,437838350.9
SOBOL,CMA,Problem5,699.6566,0.7794783,1.063419,2.137308,0.1990447,469909126
SOBOL,CMA,Problem5,70.3698,0.187726,0.957393,2.22325,0.9598,442016191.3
SOBOL,CMA,Problem5,70.3698,0.612982,0.64117,1.45095,0.157518,447867928
SOBOL,CMA,Problem5,703.2708,0.2088238,0.8826737,1.06387,0.7702922,451668120
SOBOL,CMA,Problem5,703.2708,0.2088238,0.8826737,1.06387,0.9323399,424882034.3
SOBOL,CMA,Problem5,703.2708,0.2088238,0.8826737,1.877883,0.7702922,484873075.4
SOBOL,CMA,Problem5,703.2708,0.2088238,1.523545,1.06387,0.7702922,469842301.5
SOBOL,CMA,Problem5,703.2708,0.2577423,0.8826737,1.06387,0.7702922,462385886.8
SOBOL,CMA,Problem5,708.7166,0.3610172,1.616849,3.963476,0.923554,464824039.6
SOBOL,CMA,Problem5,708.7166,0.5726816,1.245173,0.5770822,0.8452756,450163618.4
SOBOL,CMA,Problem5,713.1844,0.6050349,1.460603,0.1491895,0.2681389,477845468
SOBOL,CMA,Problem5,713.1844,0.6050349,1.988651,0.1491895,0.01993331,461512027.2
SOBOL,CMA,Problem5,713.1844,0.6050349,1.988651,0.1491895,0.2681389,462823675.5
SOBOL,CMA,Problem5,713.1844,0.6050349,1.988651,3.722697,0.2681389,480506801.4
SOBOL,CMA,Problem5,713.1844,0.8879965,1.988651,0.1491895,0.2681389,483214397.3
SOBOL,CMA,Problem5,722.6966,0.2556997,0.8209189,3.766268,0.3546772,469741262.5
SOBOL,CMA,Problem5,722.6966,0.7151573,0.6723832,3.271306,0.860551,447948764.9
SOBOL,CMA,Problem5,725.1555,0.2039851,0.4468488,0.619794,0.0647052,451177879.6
SOBOL,CMA,Problem5,725.1555,0.2039851,1.854477,0.619794,0.0647052,457490242.2
SOBOL,CMA,Problem5,725.1555,0.2039851,1.854477,0.619794,0.7340506,460336018.3
SOBOL,CMA,Problem5,725.1555,0.2039851,1.854477,2.153041,0.0647052,447395059.2
SOBOL,CMA,Problem5,725.1555,0.3873459,1.854477,0.619794,0.0647052,460147995.8
SOBOL,CMA,Problem5,730.6666,0.6216504,0.6415154,0.8521321,0.5524414,417817170.8
SOBOL,CMA,Problem5,730.6666,0.8661077,1.787844,1.142132,0.2712096,460248147.4
SOBOL,CMA,Problem5,736.511,0.109627,0.2915585,1.30894,0.5937159,445494938.6
SOBOL,CMA,Problem5,736.511,0.9314541,0.7607287,2.162199,0.6410377,474649807.9
SOBOL,CMA,Problem5,739.1379,0.168241,1.302192,2.491875,0.8995444,506521944.9
SOBOL,CMA,Problem5,739.1379,0.5493228,1.266547,0.08897809,0.9677873,438573343.7
SOBOL,CMA,Problem5,744.263,0.5973859,1.0247,2.277104,0.4786614,509118468.6
SOBOL,CMA,Problem5,744.263,0.9384701,0.3433241,2.277104,0.4786614,467033032.3
SOBOL,CMA,Problem5,744.263,0.9384701,1.0247,1.628855,0.4786614,518915427.7
SOBOL,CMA,Problem5,744.263,0.9384701,1.0247,2.277104,0.4786614,491173616.3
SOBOL,CMA,Problem5,744.263,0.9384701,1.0247,2.277104,0.8436551,466823807
SOBOL,CMA,Problem5,75.4114,0.655403,0.366846,3.99046,0.172418,409329618.5
SOBOL,CMA,Problem5,75.4114,0.668329,0.354217,3.99046,0.172418,462305280.5
SOBOL,CMA,Problem5,75.4114,0.668329,0.366846,3.80244,0.172418,453531541
SOBOL,CMA,Problem5,75.4114,0.668329,0.366846,3.99046,0.172418,455637957.4
SOBOL,CMA,Problem5,75.4114,0.668329,0.366846,3.99046,0.342266,478989912.7
SOBOL,CMA,Problem5,750.3763,0.183472,0.3172176,1.518078,0.2565098,452338622
SOBOL,CMA,Problem5,750.3763,0.6959702,0.3172176,1.202582,0.2565098,466134410.5
SOBOL,CMA,Problem5,750.3763,0.6959702,0.3172176,1.518078,0.2464895,495805654.7
SOBOL,CMA,Problem5,750.3763,0.6959702,0.3172176,1.518078,0.2565098,477990124.4
SOBOL,CMA,Problem5,750.3763,0.6959702,1.821929,1.518078,0.2565098,495030364.4
SOBOL,CMA,Problem5,754.1125,0.3327259,0.5507068,0.2814198,0.8077258,505753012.4
SOBOL,CMA,Problem5,754.1125,0.6350678,0.658578,3.291623,0.5090141,476336374.5
SOBOL,CMA,Problem5,758.5025,0.116046,0.3941034,0.7643004,0.1165783,480833175.8
SOBOL,CMA,Problem5,758.5025,0.2521854,1.512283,2.028409,0.4936286,461336736
SOBOL,CMA,Problem5,766.0141,0.1443256,0.6664411,0.9619669,0.9865733,451139791.7
SOBOL,CMA,Problem5,766.0141,0.1443256,0.6664411,3.365832,0.869049,431664305.4
SOBOL,CMA,Problem5,766.0141,0.1443256,0.6664411,3.365832,0.9865733,454761448.6
SOBOL,CMA,Problem5,766.0141,0.1443256,1.670445,3.365832,0.9865733,474910905.5
SOBOL,CMA,Problem5,766.0141,0.8700361,0.6664411,3.365832,0.9865733,499350115.7
SOBOL,CMA,Problem5,769.2443,0.6634858,1.621441,1.712136,0.8249475,440912362.7
SOBOL,CMA,Problem5,769.2443,0.8274297,1.700421,0.1723867,0.4419091,479044013.6
SOBOL,CMA,Problem5,775.6744,0.2396349,1.538599,1.648676,0.3573536,474213321.1
SOBOL,CMA,Problem5,775.6744,0.4814642,1.505441,1.814568,0.528049,463789904.6
SOBOL,CMA,Problem5,780.628,0.6846471,0.9679525,0.3593081,0.2954628,496980401.2
SOBOL,CMA,Problem5,780.628,0.8240209,1.290417,1.162985,0.1610073,465088413.6
SOBOL,CMA,Problem5,784.8642,0.8642743,1.495428,0.8253996,0.005856896,481737657.1
SOBOL,CMA,Problem5,784.8642,0.8642743,1.495428,0.8253996,0.1214221,457069994.3
SOBOL,CMA,Problem5,784.8642,0.8642743,1.495428,2.281818,0.1214221,490611282.9
SOBOL,CMA,Problem5,784.8642,0.8642743,1.891857,0.8253996,0.1214221,461825038.4
SOBOL,CMA,Problem5,784.8642,0.9975273,1.495428,0.8253996,0.1214221,443776698.4
SOBOL,CMA,Problem5,787.9517,0.3532602,1.012649,0.4691376,0.9181676,439215032.7
SOBOL,CMA,Problem5,787.9517,0.3532602,1.183279,0.3776788,0.9181676,471669543.5
SOBOL,CMA,Problem5,787.9517,0.3532602,1.183279,0.4691376,0.08585129,407767141
SOBOL,CMA,Problem5,787.9517,0.3532602,1.183279,0.4691376,0.9181676,498310931.4
SOBOL,CMA,Problem5,787.9517,0.8777412,1.183279,0.4691376,0.9181676,443365369.1
SOBOL,CMA,Problem5,793.7172,0.4379301,0.8733716,3.642634,0.2002405,468139004.2
SOBOL,CMA,Problem5,793.7172,0.8326205,0.8674117,0.9913926,0.7206558,470290677.7
SOBOL,CMA,Problem5,800.5097,0.3514377,1.792935,2.836022,0.5766233,461747226.6
SOBOL,CMA,Problem5,800.5097,0.4864865,0.4790598,2.341358,0.09969904,428680686.3
SOBOL,CMA,Problem5,802.5825,0.2750229,0.4940148,3.672865,0.1788039,485111159.2
SOBOL,CMA,Problem5,802.5825,0.454861,0.4111236,1.880605,0.8896988,473450396.1
SOBOL,CMA,Problem5,811.5228,0.8069678,0.9239389,1.264553,0.2501522,484706367.5
SOBOL,CMA,Problem5,811.5228,0.8540316,0.747434,1.264553,0.2501522,458592813.5
SOBOL,CMA,Problem5,811.5228,0.8540316,0.9239389,1.264553,0.2501522,433174181.6
SOBOL,CMA,Problem5,811.5228,0.8540316,0.9239389,1.264553,0.3295296,516842424.7
SOBOL,CMA,Problem5,811.5228,0.8540316,0.9239389,3.48819,0.2501522,457819520.7
SOBOL,CMA,Problem5,812.5152,0.2479912,0.3061954,2.190678,0.9411273,468865765.1
SOBOL,CMA,Problem5,812.5152,0.2479912,1.106507,2.190678,0.8255687,473715003
SOBOL,CMA,Problem5,812.5152,0.2479912,1.106507,2.190678,0.9411273,497729591.9
SOBOL,CMA,Problem5,812.5152,0.2479912,1.106507,2.616649,0.9411273,469799751
SOBOL,CMA,Problem5,812.5152,0.6484512,1.106507,2.190678,0.9411273,463708790.2
SOBOL,CMA,Problem5,818.1578,0.2896884,1.441908,0.184114,0.7605842,459530891.5
SOBOL,CMA,Problem5,818.1578,0.2896884,1.441908,0.7094493,0.3995408,455085821.6
SOBOL,CMA,Problem5,818.1578,0.2896884,1.441908,0.7094493,0.7605842,455214952.5
SOBOL,CMA,Problem5,818.1578,0.2896884,1.901408,0.7094493,0.7605842,488290582.1
SOBOL,CMA,Problem5,818.1578,0.8505244,1.441908,0.7094493,0.7605842,471270740.9
SOBOL,CMA,Problem5,82.0943,0.556354,0.433576,0.0356491,0.0346927,492084248
SOBOL,CMA,Problem5,82.0943,0.556354,1.1126,0.0356491,0.0346927,440322245.3
SOBOL,CMA,Problem5,82.0943,0.556354,1.1126,0.0356491,0.281006,474813104.5
SOBOL,CMA,Problem5,82.0943,0.556354,1.1126,1.37719,0.0346927,424723670.7
SOBOL,CMA,Problem5,82.0943,0.96939,1.1126,0.0356491,0.0346927,474811976.6
SOBOL,CMA,Problem5,822.9642,0.9166577,0.3610924,2.050185,0.3302859,477484710.1
SOBOL,CMA,Problem5,822.9642,0.9622031,0.8559236,2.740937,0.3481797,494705265.2
SOBOL,CMA,Problem5,827.0906,0.4299262,0.212421,3.851011,0.2085085,448649551.1
SOBOL,CMA,Problem5,827.0906,0.4299262,0.5807634,2.561691,0.2085085,472749377.1
SOBOL,CMA,Problem5,827.0906,0.4299262,0.5807634,3.851011,0.2085085,461147565.8
SOBOL,CMA,Problem5,827.0906,0.4299262,0.5807634,3.851011,0.9649417,459155523.2
SOBOL,CMA,Problem5,827.0906,0.6408129,0.5807634,3.851011,0.2085085,469690395.3
SOBOL,CMA,Problem5,831.7946,0.1661113,1.472889,3.600299,0.2280484,521773342.6
SOBOL,CMA,Problem5,831.7946,0.1943507,1.045587,3.035894,0.9977116,475830744.9
SOBOL,CMA,Problem5,838.5781,0.2039851,1.854477,0.619794,0.0647052,454779113.1
SOBOL,CMA,Problem5,838.5781,0.3873459,0.4468488,2.153041,0.7340506,471957913.7
SOBOL,CMA,Problem5,84.561,0.239635,1.50544,1.64868,0.357354,471362001.8
SOBOL,CMA,Problem5,84.561,0.239635,1.5386,1.64868,0.357354,460376017.7
SOBOL,CMA,Problem5,84.561,0.239635,1.5386,1.64868,0.528049,453909090.9
SOBOL,CMA,Problem5,84.561,0.239635,1.5386,1.81457,0.357354,502615651.6
SOBOL,CMA,Problem5,84.561,0.481464,1.5386,1.64868,0.357354,462133485.4
SOBOL,CMA,Problem5,841.9926,0.3191728,0.5995665,3.627293,0.6528306,437283004.8
SOBOL,CMA,Problem5,841.9926,0.9198165,0.5867127,1.691931,0.5455091,456397535.3
SOBOL,CMA,Problem5,847.3548,0.5705532,1.311371,3.354389,0.7970023,431404277.6
SOBOL,CMA,Problem5,847.3548,0.8584346,0.5153239,0.5104151,0.2211837,440815765
SOBOL,CMA,Problem5,856.2025,0.3693372,1.643528,0.2079858,0.01488995,445362153.8
SOBOL,CMA,Problem5,856.2025,0.955398,0.2777793,0.2079858,0.01488995,458700196.4
SOBOL,CMA,Problem5,856.2025,0.955398,1.643528,0.2079858,0.01488995,502945618.1
SOBOL,CMA,Problem5,856.2025,0.955398,1.643528,0.2079858,0.2307189,475974125.6
SOBOL,CMA,Problem5,856.2025,0.955398,1.643528,3.428184,0.01488995,479277913.6
SOBOL,CMA,Problem5,856.8006,0.1961292,1.166892,3.832401,0.7129145,434672184.1
SOBOL,CMA,Problem5,856.8006,0.9549338,0.4293904,1.08443,0.1672549,458177194.5
SOBOL,CMA,Problem5,864.3836,0.7006202,1.07958,3.125645,0.973912,415394908.4
SOBOL,CMA,Problem5,864.3836,0.7848505,0.1530553,3.868734,0.1148916,466695916.7
SOBOL,CMA,Problem5,867.621,0.2225782,0.3783842,0.6754644,0.07363042,469844451.7
SOBOL,CMA,Problem5,867.621,0.2225782,0.3783842,1.774382,0.07363042,475052544.5
SOBOL,CMA,Problem5,867.621,0.2225782,0.3783842,1.774382,0.4546111,452995038.7
SOBOL,CMA,Problem5,867.621,0.2225782,0.4627614,1.774382,0.07363042,484311542.8
SOBOL,CMA,Problem5,867.621,0.4130447,0.3783842,1.774382,0.07363042,460670625
SOBOL,CMA,Problem5,872.7892,0.12291,1.349619,0.003658513,0.05780872,449807839.2
SOBOL,CMA,Problem5,872.7892,0.2336395,1.27876,2.256481,0.6356641,458312443.3
SOBOL,CMA,Problem5,876.8988,0.8642743,1.495428,0.8253996,0.1214221,457901180.6
SOBOL,CMA,Problem5,876.8988,0.9975273,1.891857,2.281818,0.005856896,460444502.5
SOBOL,CMA,Problem5,883.8324,0.6846471,0.9679525,0.3593081,0.1610073,456159015.2
SOBOL,CMA,Problem5,883.8324,0.6846471,0.9679525,0.3593081,0.2954628,498485352.6
SOBOL,CMA,Problem5,883.8324,0.6846471,0.9679525,1.162985,0.2954628,505159782.7
SOBOL,CMA,Problem5,883.8324,0.6846471,1.290417,0.3593081,0.2954628,442751734.5
SOBOL,CMA,Problem5,883.8324,0.8240209,0.9679525,0.3593081,0.2954628,507782077.4
SOBOL,CMA,Problem5,890.3569,0.3394429,0.122982,0.7328736,0.7398604,483337184.3
SOBOL,CMA,Problem5,890.3569,0.7047349,0.253008,2.998757,0.4575203,452749044.2
SOBOL,CMA,Problem5,894.457,0.12291,1.27876,2.256481,0.6356641,462839312.4
SOBOL,CMA,Problem5,894.457,0.2336395,1.27876,0.003658513,0.6356641,484644921.3
SOBOL,CMA,Problem5,894.457,0.2336395,1.27876,2.256481,0.05780872,470273460.9
SOBOL,CMA,Problem5,894.457,0.2336395,1.27876,2.256481,0.6356641,460655696.3
SOBOL,CMA,Problem5,894.457,0.2336395,1.349619,2.256481,0.6356641,473201684.6
SOBOL,CMA,Problem5,899.2636,0.3465348,0.4522427,1.010862,0.3010413,455372585.2
SOBOL,CMA,Problem5,899.2636,0.6586344,1.950878,1.411078,0.8388567,492059046.9
SOBOL,CMA,Problem5,904.6388,0.1623725,1.958209,1.478255,0.7418455,479831468.4
SOBOL,CMA,Problem5,904.6388,0.6281973,1.723447,3.301364,0.4719746,510691218.2
SOBOL,CMA,Problem5,908.3607,0.903765,0.7398554,1.980506,0.5745614,440558066.1
SOBOL,CMA,Problem5,908.3607,0.9895368,0.7398554,1.290862,0.5745614,459138649.3
SOBOL,CMA,Problem5,908.3607,0.9895368,0.7398554,1.980506,0.5745614,460764487.5
SOBOL,CMA,Problem5,908.3607,0.9895368,0.7398554,1.980506,0.6901677,465653930.3
SOBOL,CMA,Problem5,908.3607,0.9895368,0.9063944,1.980506,0.5745614,467984981.1
SOBOL,CMA,Problem5,914.7626,0.3914773,0.1052797,1.933193,0.8160174,484157216.5
SOBOL,CMA,Problem5,914.7626,0.5232084,0.9752225,3.098977,0.9057646,448927166.4
SOBOL,CMA,Problem5,919.9754,0.3394429,0.253008,2.998757,0.4575203,484247370.1
SOBOL,CMA,Problem5,919.9754,0.7047349,0.122982,2.998757,0.4575203,477219563.3
SOBOL,CMA,Problem5,919.9754,0.7047349,0.253008,0.7328736,0.4575203,480166794.7
SOBOL,CMA,Problem5,919.9754,0.7047349,0.253008,2.998757,0.4575203,476315436.2
SOBOL,CMA,Problem5,919.9754,0.7047349,0.253008,2.998757,0.7398604,456259755.4
SOBOL,CMA,Problem5,922.689,0.1550823,0.6929133,0.1015476,0.7842188,439711618.8
SOBOL,CMA,Problem5,922.689,0.6501952,0.6929133,0.1015476,0.1001163,457418304.2
SOBOL,CMA,Problem5,922.689,0.6501952,0.6929133,0.1015476,0.7842188,462553582.5
SOBOL,CMA,Problem5,922.689,0.6501952,0.6929133,3.045247,0.7842188,454307810.3
SOBOL,CMA,Problem5,922.689,0.6501952,0.7960131,0.1015476,0.7842188,452843135.8
SOBOL,CMA,Problem5,925.8648,0.2861738,0.2828579,1.907467,0.3780308,509723361.6
SOBOL,CMA,Problem5,925.8648,0.2861738,1.831714,1.338056,0.3780308,467991583.5
SOBOL,CMA,Problem5,925.8648,0.2861738,1.831714,1.907467,0.3186893,491350024.1
SOBOL,CMA,Problem5,925.8648,0.2861738,1.831714,1.907467,0.3780308,459837355.6
SOBOL,CMA,Problem5,925.8648,0.7935778,1.831714,1.907467,0.3780308,466528903.1
SOBOL,CMA,Problem5,93.0279,0.361017,1.24517,0.577082,0.845276,439394849
SOBOL,CMA,Problem5,93.0279,0.572682,1.24517,0.577082,0.845276,423638903.4
SOBOL,CMA,Problem5,93.0279,0.572682,1.24517,0.577082,0.923554,459651003.7
SOBOL,CMA,Problem5,93.0279,0.572682,1.24517,3.96348,0.845276,468394315.8
SOBOL,CMA,Problem5,93.0279,0.572682,1.61685,0.577082,0.845276,464280655
SOBOL,CMA,Problem5,933.7789,0.5156476,0.1785854,0.04767526,0.6344019,460570554.7
SOBOL,CMA,Problem5,933.7789,0.9086738,1.919376,0.807865,0.416992,443396640.2
SOBOL,CMA,Problem5,940.4303,0.2225782,0.3783842,1.774382,0.07363042,450565643.9
SOBOL,CMA,Problem5,940.4303,0.4130447,0.4627614,0.6754644,0.4546111,493155649.6
SOBOL,CMA,Problem5,944.0897,0.2950303,1.369944,2.760949,0.4292569,472092011.7
SOBOL,CMA,Problem5,944.0897,0.2950303,1.369944,2.871304,0.4292569,441952108.5
SOBOL,CMA,Problem5,944.0897,0.2950303,1.369944,2.871304,0.6275409,435589684.2
SOBOL,CMA,Problem5,944.0897,0.2950303,1.435252,2.871304,0.4292569,496565844.7
SOBOL,CMA,Problem5,944.0897,0.4023044,1.369944,2.871304,0.4292569,472159287
SOBOL,CMA,Problem5,946.448,0.8069678,0.747434,3.48819,0.3295296,486639192.5
SOBOL,CMA,Problem5,946.448,0.8540316,0.9239389,1.264553,0.2501522,461065767.3
SOBOL,CMA,Problem5,954.7976,0.5610846,1.877387,1.134815,0.3670946,455316499.5
SOBOL,CMA,Problem5,954.7976,0.5610846,1.926949,1.134815,0.1290711,451753302
SOBOL,CMA,Problem5,954.7976,0.5610846,1.926949,1.134815,0.3670946,474702708.2
SOBOL,CMA,Problem5,954.7976,0.5610846,1.926949,2.787415,0.3670946,488222204.3
SOBOL,CMA,Problem5,954.7976,0.9765883,1.926949,1.134815,0.3670946,464693267
SOBOL,CMA,Problem5,956.7404,0.7711177,1.85965,0.241128,0.3052498,506545822.7
SOBOL,CMA,Problem5,956.7404,0.9432599,1.482844,0.241128,0.3052498,447774396.4
SOBOL,CMA,Problem5,956.7404,0.9432599,1.85965,0.241128,0.2189879,471993117.7
SOBOL,CMA,Problem5,956.7404,0.9432599,1.85965,0.241128,0.3052498,449254365.1
SOBOL,CMA,Problem5,956.7404,0.9432599,1.85965,2.649294,0.3052498,439118724.6
SOBOL,CMA,Problem5,962.8286,0.2267989,0.1571196,1.34382,0.02176038,467456690.3
SOBOL,CMA,Problem5,962.8286,0.838403,0.1571196,1.34382,0.02176038,452999577.8
SOBOL,CMA,Problem5,962.8286,0.838403,0.1571196,1.34382,0.6234604,482090374.7
SOBOL,CMA,Problem5,962.8286,0.838403,0.1571196,2.004068,0.02176038,442324191
SOBOL,CMA,Problem5,962.8286,0.838403,1.214065,1.34382,0.02176038,459565886.9
SOBOL,CMA,Problem5,967.9905,0.4203812,1.807521,2.85826,0.4394948,464373462.6
SOBOL,CMA,Problem5,967.9905,0.459183,1.238203,2.85826,0.4394948,490341669.8
SOBOL,CMA,Problem5,967.9905,0.459183,1.807521,2.85826,0.4394948,494341402.4
SOBOL,CMA,Problem5,967.9905,0.459183,1.807521,2.85826,0.7468077,481666082.2
SOBOL,CMA,Problem5,967.9905,0.459183,1.807521,3.754159,0.4394948,460955885.3
SOBOL,CMA,Problem5,97.3982,0.306328,0.132407,2.95791,0.152754,463730886.6
SOBOL,CMA,Problem5,97.3982,0.306328,0.132407,2.95791,0.515215,497815201.4
SOBOL,CMA,Problem5,97.3982,0.306328,0.132407,3.44464,0.515215,463010083.6
SOBOL,CMA,Problem5,97.3982,0.306328,1.38233,2.95791,0.515215,478267859.4
SOBOL,CMA,Problem5,97.3982,0.758418,0.132407,2.95791,0.515215,445851260.7
SOBOL,CMA,Problem5,970.5394,0.4607775,0.2647638,0.8742635,0.9033664,441165121.3
SOBOL,CMA,Problem5,970.5394,0.9923255,1.654307,2.215245,0.03661912,472621550.8
SOBOL,CMA,Problem5,979.0032,0.108075,0.50651,1.55761,0.9543944,490852587.3
SOBOL,CMA,Problem5,979.0032,0.8816473,0.1859029,0.8981021,0.5980645,461174624.1
SOBOL,CMA,Problem5,982.7873,0.2394205,1.659436,1.661017,0.5389572,450580766.1
SOBOL,CMA,Problem5,982.7873,0.5879414,1.533354,2.369618,0.04619915,497137932.4
SOBOL,CMA,Problem5,985.7806,0.5372662,0.2457877,3.787829,0.9805209,454032177
SOBOL,CMA,Problem5,985.7806,0.7525587,1.052681,3.190348,0.6096756,454925325.8
SOBOL,CMA,Problem5,992.8573,0.5281818,1.991492,2.816852,0.4340902,456996874
SOBOL,CMA,Problem5,992.8573,0.7086939,1.769238,2.816852,0.4340902,469567716.5
SOBOL,CMA,Problem5,992.8573,0.7086939,1.991492,2.816852,0.1359808,474969152.1
SOBOL,CMA,Problem5,992.8573,0.7086939,1.991492,2.816852,0.4340902,505157345.9
SOBOL,CMA,Problem5,992.8573,0.7086939,1.991492,3.51663,0.4340902,463392683.2
SOBOL,CMA,Problem5,995.2282,0.3207307,0.7871541,3.071015,0.3643292,485133058.8
SOBOL,CMA,Problem5,995.2282,0.3207307,1.133261,0.07841701,0.3643292,451207096.5
SOBOL,CMA,Problem5,995.2282,0.3207307,1.133261,3.071015,0.3643292,444318525.9
SOBOL,CMA,Problem5,995.2282,0.3207307,1.133261,3.071015,0.5824735,478871613.8
SOBOL,CMA,Problem5,995.2282,0.7372871,1.133261,3.071015,0.3643292,490917032.3
SOBOL,CMA,Problem6,102.2108,0.2774447,0.6998366,3.956992,0.7579046,103449.0667
SOBOL,CMA,Problem6,102.2108,0.8952541,1.588155,1.616455,0.04489436,99261.1
SOBOL,CMA,Problem6,106.3375,0.374523,1.570611,3.709494,0.42232,99316.23333
SOBOL,CMA,Problem6,106.3375,0.476686,1.743208,3.540586,0.4955418,98025.33333
SOBOL,CMA,Problem6,112.7625,0.3191728,0.5867127,3.627293,0.6528306,90464.46667
SOBOL,CMA,Problem6,112.7625,0.3191728,0.5995665,1.691931,0.6528306,100962.4667
SOBOL,CMA,Problem6,112.7625,0.3191728,0.5995665,3.627293,0.5455091,99323.66667
SOBOL,CMA,Problem6,112.7625,0.3191728,0.5995665,3.627293,0.6528306,95500.8
SOBOL,CMA,Problem6,112.7625,0.9198165,0.5995665,3.627293,0.6528306,98611.16667
SOBOL,CMA,Problem6,114.1386,0.3280644,0.4025634,3.571063,0.6993727,98548.23333
SOBOL,CMA,Problem6,114.1386,0.4337206,0.4025634,2.476229,0.6993727,102289.5
SOBOL,CMA,Problem6,114.1386,0.4337206,0.4025634,3.571063,0.5862049,103360.9667
SOBOL,CMA,Problem6,114.1386,0.4337206,0.4025634,3.571063,0.6993727,100493.9333
SOBOL,CMA,Problem6,114.1386,0.4337206,1.686915,3.571063,0.6993727,107797.5333
SOBOL,CMA,Problem6,119.2643,0.1661113,1.045587,3.035894,0.9977116,102135.8667
SOBOL,CMA,Problem6,119.2643,0.1943507,1.045587,3.035894,0.2280484,103299.2333
SOBOL,CMA,Problem6,119.2643,0.1943507,1.045587,3.035894,0.9977116,97284.3
SOBOL,CMA,Problem6,119.2643,0.1943507,1.045587,3.600299,0.9977116,96214.26667
SOBOL,CMA,Problem6,119.2643,0.1943507,1.472889,3.035894,0.9977116,102704.1
SOBOL,CMA,Problem6,127.49,0.2029709,1.097208,2.925113,0.7855908,105286.1333
SOBOL,CMA,Problem6,127.49,0.3364996,1.971131,0.9079218,0.8937139,101864.7
SOBOL,CMA,Problem6,13.5814,0.497418,0.783523,0.307161,0.649121,97987
SOBOL,CMA,Problem6,13.5814,0.601783,1.56025,1.95486,0.339708,103501.5333
SOBOL,CMA,Problem6,133.293,0.2861738,1.831714,1.907467,0.3780308,97424.43333
SOBOL,CMA,Problem6,133.293,0.7935778,0.2828579,1.338056,0.3186893,98184
SOBOL,CMA,Problem6,136.6461,0.3532602,1.183279,0.4691376,0.9181676,103744.7333
SOBOL,CMA,Problem6,136.6461,0.8777412,1.012649,0.3776788,0.08585129,101061.9667
SOBOL,CMA,Problem6,143.2607,0.5517868,1.710706,1.824362,0.003279052,96505.76667
SOBOL,CMA,Problem6,143.2607,0.9270153,1.544555,3.212108,0.1317977,100478.2
