,$\lambda$,$\lambda$,$P[\mathrm{X}]$,$P[\mathrm{X}]$,$\mathrm{X}_{\mathrm{DI}}$,$\mathrm{X}_{\mathrm{DI}}$,$P[\mathrm{PM}]$,$P[\mathrm{PM}]$,$\mathrm{PM}_{\mathrm{DI}}$,$\mathrm{PM}_{\mathrm{DI}}$,$Mode$,$Mode$,$\epsilon_N$,$\epsilon_N$,$\lambda$,$\lambda$,$P[\mathrm{X}]$,$P[\mathrm{X}]$,$\mathrm{X}_{\mathrm{DI}}$,$\mathrm{X}_{\mathrm{DI}}$,$P[\mathrm{PM}]$,$P[\mathrm{PM}]$,$\mathrm{PM}_{\mathrm{DI}}$,$\mathrm{PM}_{\mathrm{DI}}$,$Mode$,$Mode$,$\epsilon_N$,$\epsilon_N$,index
0,,,9.232933536898946,3.005701191899366e-08,50.53228901329896,7.50589704471447e-21,25.00078011462045,1.982136076499162e-15,12.548856336410287,2.4483186101019415e-10,11.83576056393244,6.298022000846685e-10,19.162667468513707,2.0128183985662636e-13,1.9639610121239317,0.06516948808048838,9.626002468403353,1.6004167522822384e-08,8.660342618684076,7.779435311654203e-08,8.110878356479976,2.0133408033666544e-07,9.522553564059686,1.88589113119467e-08,4.703481157902546,0.00017709455379141464,9.20695706862551,3.135528864734062e-08,$\lambda$
1,-9.232933536898946,3.005701191899366e-08,0.0,1.0,1.9241543356549806,0.07029330393186783,0.8652378560079176,0.398293623597874,0.009174549105446402,0.9927807915230673,0.05378628672652365,0.95769790557168,1.0763203702906383,0.2959991491796049,-2.7627467784378337,0.012818734831042145,0.07375638450547065,0.9420176964398831,-0.577577822719647,0.5707041492529803,0.21810737250588583,0.8297990248021732,0.4619462589570422,0.6496541903203767,-0.9262291176649035,0.36657985190214115,-0.4476596548023111,0.6597396661550299,$P[\mathrm{X}]$
2,-50.53228901329896,7.50589704471447e-21,-1.9241543356549806,0.07029330393186783,0.0,1.0,-2.2385112336060917,0.038062729370456856,-2.547072270642215,0.0202231603095101,-2.3299055001343714,0.03164896694612171,-1.264043011901961,0.22233927863909292,-4.221481569114715,0.0005131428335707393,-1.8777855407549728,0.07671112596722153,-2.782334297648033,0.012293041415406018,-1.360621951094916,0.19042841103525526,-1.227294887084555,0.23552184543193244,-2.308874494640966,0.033029154538102665,-2.6858719682266687,0.015097629628978416,$\mathrm{X}_{\mathrm{DI}}$
3,-25.00078011462045,1.982136076499162e-15,-0.8652378560079176,0.398293623597874,2.2385112336060917,0.038062729370456856,0.0,1.0,-1.0964886935958376,0.28731852070818215,-0.978285716511563,0.3408991904932659,0.4292342680667841,0.6728463852153765,-3.587727785451548,0.0021038508817248142,-0.7904733142517294,0.4395424405337016,-1.649823610974869,0.11632013627526623,-0.4781109242233658,0.6383264390476444,-0.23982409250446843,0.8131764578020738,-1.6279061015416691,0.12092166839153667,-1.5158600710793195,0.14691942051415768,$P[\mathrm{PM}]$
4,-12.548856336410287,2.4483186101019415e-10,-0.009174549105446402,0.9927807915230673,2.547072270642215,0.0202231603095101,1.0964886935958376,0.28731852070818215,0.0,1.0,0.05292876854174809,0.9583716607122305,1.325005547572958,0.20174446104243515,-2.93053600380485,0.008935528358079156,0.07500742282690281,0.9410361430772668,-0.6696537598266675,0.511578049790941,0.23432456676225685,0.8173776584986334,0.514038332805144,0.6134782173050194,-0.999122917299431,0.3309780471110587,-0.5243241281060874,0.6064503718836451,$\mathrm{PM}_{\mathrm{DI}}$
5,-11.83576056393244,6.298022000846685e-10,-0.05378628672652365,0.95769790557168,2.3299055001343714,0.03164896694612171,0.978285716511563,0.3408991904932659,-0.05292876854174809,0.9583716607122305,0.0,1.0,1.210054228763517,0.24190988618453668,-2.9309976039495624,0.008926604845252838,0.02750893690433308,0.9783565106738457,-0.6990064668442791,0.49348202103943806,0.18970094512405009,0.8516662851155261,0.4588246956031122,0.6518519729936382,-1.019289032845021,0.32157108297746717,-0.5576535627188948,0.5839504008153411,$Mode$
6,-19.162667468513707,2.0128183985662636e-13,-1.0763203702906383,0.2959991491796049,1.264043011901961,0.22233927863909292,-0.4292342680667841,0.6728463852153765,-1.325005547572958,0.20174446104243515,-1.210054228763517,0.24190988618453668,0.0,1.0,-3.6751959994928063,0.0017317186431634844,-1.0095086502030965,0.3261094895533856,-1.8213885075896887,0.08521083965199507,-0.683710850794045,0.5028651590347613,-0.47683381311099393,0.6392181264139476,-1.7629258340965737,0.09488264829576422,-1.6973631532004896,0.10685034933438504,$\epsilon_N$
7,-1.9639610121239317,0.06516948808048838,2.7627467784378337,0.012818734831042145,4.221481569114715,0.0005131428335707393,3.587727785451548,0.0021038508817248142,2.93053600380485,0.008935528358079156,2.9309976039495624,0.008926604845252838,3.6751959994928063,0.0017317186431634844,0.0,1.0,2.8324811940845303,0.011039846747433227,2.386691720669373,0.028185678591681317,2.8000000533704283,0.011836722440936817,3.057166851889581,0.006785515523002486,1.643225478331488,0.11768945219108568,2.501835768692312,0.02222304823985517,$\lambda$
8,-9.626002468403353,1.6004167522822384e-08,-0.07375638450547065,0.9420176964398831,1.8777855407549728,0.07671112596722153,0.7904733142517294,0.4395424405337016,-0.07500742282690281,0.9410361430772668,-0.02750893690433308,0.9783565106738457,1.0095086502030965,0.3261094895533856,-2.8324811940845303,0.011039846747433227,0.0,1.0,-0.6613853034286946,0.5167427218343342,0.15359663159696516,0.8796366789045305,0.3964167582912519,0.6964577479180318,-0.9892085026349569,0.33567304392164354,-0.5311406580177016,0.6018145446123166,$P[\mathrm{X}]$
9,-8.660342618684076,7.779435311654203e-08,0.577577822719647,0.5707041492529803,2.782334297648033,0.012293041415406018,1.649823610974869,0.11632013627526623,0.6696537598266675,0.511578049790941,0.6990064668442791,0.49348202103943806,1.8213885075896887,0.08521083965199507,-2.386691720669373,0.028185678591681317,0.6613853034286946,0.5167427218343342,0.0,1.0,0.747502233503579,0.46441456865951913,1.0339308048470393,0.3148607908617045,-0.5014789679437744,0.6221120013391526,0.14267995013299992,0.888127950801451,$\mathrm{X}_{\mathrm{DI}}$
