method,algo,problem,dim,pop,pSBX,sbxDI,pm,pmDI,mode,neighbour,GD,IGD,HV
Morris,MOEAD,C1_DTLZ1,3,20.0,0.5909091,128.0,0.5909091,182.0,1.545455,0.3909091,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.5909091,128.0,0.5909091,182.0,3.181818,0.3909091,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.5909091,128.0,0.5909091,74.0,3.181818,0.3909091,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.5909091,20.0,0.5909091,182.0,1.545455,0.1727273,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.5909091,20.0,0.5909091,182.0,1.545455,0.3909091,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.754545,92.0,0.345455,56.0,1.54545,0.427273,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.754545,92.0,0.836364,56.0,1.54545,0.427273,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.7545455,200.0,0.8363636,56.0,1.545455,0.4272727,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.8363636,146.0,0.2636364,110.0,2.090909,0.3545455,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.8363636,146.0,0.2636364,110.0,3.727273,0.1363636,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.8363636,146.0,0.2636364,110.0,3.727273,0.3545455,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.8363636,146.0,0.2636364,2.0,2.090909,0.3545455,,,
Morris,MOEAD,C1_DTLZ1,3,20.0,0.836364,38.0,0.263636,2.0,2.09091,0.354545,,,
Morris,MOEAD,C1_DTLZ1,3,287.2727,0.2636364,146.0,0.3454545,110.0,1.272727,0.2818182,,,
Morris,MOEAD,C1_DTLZ1,3,287.2727,0.2636364,146.0,0.8363636,110.0,1.272727,0.2818182,,,
Morris,MOEAD,C1_DTLZ1,3,287.2727,0.2636364,146.0,0.8363636,110.0,2.909091,0.2818182,,,
Morris,MOEAD,C1_DTLZ1,3,287.2727,0.2636364,38.0,0.8363636,110.0,2.909091,0.2818182,,,
Morris,MOEAD,C1_DTLZ1,3,287.2727,0.2636364,38.0,0.8363636,2.0,2.909091,0.2818182,,,
Morris,MOEAD,C1_DTLZ1,3,287.2727,0.2636364,38.0,0.8363636,2.0,2.909091,0.5,,,
Morris,MOEAD,C1_DTLZ1,3,287.2727,0.3454545,2.0,0.9181818,200.0,2.090909,0.2454545,,,
Morris,MOEAD,C1_DTLZ1,3,287.2727,0.4272727,92.0,0.4272727,128.0,3.181818,0.2090909,,,
Morris,MOEAD,C1_DTLZ1,3,287.2727,0.4272727,92.0,0.4272727,128.0,3.181818,0.4272727,,,
Morris,MOEAD,C1_DTLZ1,3,287.2727,0.6727273,182.0,0.2636364,38.0,3.181818,0.1363636,,,
Morris,MOEAD,C1_DTLZ1,3,287.2727,0.6727273,74.0,0.2636364,146.0,1.545455,0.1363636,,,
Morris,MOEAD,C1_DTLZ1,3,287.2727,0.6727273,74.0,0.2636364,146.0,3.181818,0.1363636,,,
Morris,MOEAD,C1_DTLZ1,3,287.2727,0.6727273,74.0,0.2636364,38.0,3.181818,0.1363636,,,
Morris,MOEAD,C1_DTLZ1,3,287.2727,0.8363636,2.0,0.9181818,200.0,2.090909,0.2454545,,,
Morris,MOEAD,C1_DTLZ1,3,287.2727,0.8363636,2.0,0.9181818,92.0,2.090909,0.2454545,,,
Morris,MOEAD,C1_DTLZ1,3,287.2727,0.9181818,200.0,0.4272727,20.0,1.545455,0.4272727,,,
Morris,MOEAD,C1_DTLZ1,3,287.2727,0.9181818,200.0,0.4272727,20.0,3.181818,0.4272727,,,
Morris,MOEAD,C1_DTLZ1,3,287.2727,0.9181818,92.0,0.4272727,128.0,3.181818,0.4272727,,,
Morris,MOEAD,C1_DTLZ1,3,287.2727,0.9181818,92.0,0.4272727,20.0,3.181818,0.4272727,,,
Morris,MOEAD,C1_DTLZ1,3,376.3636,0.1,200.0,0.5909091,110.0,1.272727,0.4636364,,,
Morris,MOEAD,C1_DTLZ1,3,376.3636,0.2636364,92.0,0.2636364,200.0,2.090909,0.1,,,
Morris,MOEAD,C1_DTLZ1,3,376.3636,0.2636364,92.0,0.2636364,200.0,3.727273,0.1,,,
Morris,MOEAD,C1_DTLZ1,3,376.3636,0.2636364,92.0,0.2636364,200.0,3.727273,0.3181818,,,
Morris,MOEAD,C1_DTLZ1,3,376.3636,0.2636364,92.0,0.7545455,200.0,3.727273,0.3181818,,,
Morris,MOEAD,C1_DTLZ1,3,376.3636,0.2636364,92.0,0.7545455,92.0,3.727273,0.3181818,,,
Morris,MOEAD,C1_DTLZ1,3,376.3636,0.5909091,200.0,0.5909091,110.0,1.272727,0.4636364,,,
Morris,MOEAD,C1_DTLZ1,3,376.3636,0.5909091,200.0,0.5909091,2.0,1.272727,0.4636364,,,
Morris,MOEAD,C1_DTLZ1,3,376.3636,0.7545455,200.0,0.2636364,200.0,2.090909,0.1,,,
Morris,MOEAD,C1_DTLZ1,3,376.3636,0.7545455,92.0,0.2636364,200.0,2.090909,0.1,,,
Morris,MOEAD,C1_DTLZ1,3,465.4545,0.2636364,92.0,0.1,128.0,1.272727,0.1727273,,,
Morris,MOEAD,C1_DTLZ1,3,465.4545,0.2636364,92.0,0.1,20.0,1.272727,0.1727273,,,
Morris,MOEAD,C1_DTLZ1,3,465.4545,0.2636364,92.0,0.5909091,20.0,1.272727,0.1727273,,,
Morris,MOEAD,C1_DTLZ1,3,465.4545,0.5090909,146.0,0.3454545,38.0,3.727273,0.2090909,,,
Morris,MOEAD,C1_DTLZ1,3,465.4545,0.5090909,38.0,0.3454545,38.0,2.090909,0.2090909,,,
Morris,MOEAD,C1_DTLZ1,3,465.4545,0.5090909,38.0,0.3454545,38.0,3.727273,0.2090909,,,
Morris,MOEAD,C1_DTLZ1,3,465.4545,0.5090909,38.0,0.8363636,146.0,2.090909,0.2090909,,,
Morris,MOEAD,C1_DTLZ1,3,465.4545,0.5090909,38.0,0.8363636,38.0,2.090909,0.2090909,,,
Morris,MOEAD,C1_DTLZ1,3,465.4545,0.7545455,92.0,0.5909091,20.0,1.272727,0.1727273,,,
Morris,MOEAD,C1_DTLZ1,3,465.4545,1.0,38.0,0.8363636,146.0,2.090909,0.2090909,,,
Morris,MOEAD,C1_DTLZ1,3,554.5455,0.1,20.0,0.5909091,182.0,1.545455,0.1727273,,,
Morris,MOEAD,C1_DTLZ1,3,554.5455,0.3454545,38.0,0.7545455,2.0,2.090909,0.3545455,,,
Morris,MOEAD,C1_DTLZ1,3,554.5455,0.4272727,92.0,0.2636364,2.0,2.363636,0.3181818,,,
Morris,MOEAD,C1_DTLZ1,3,554.5455,0.5909091,20.0,0.5909091,182.0,1.545455,0.1727273,,,
Morris,MOEAD,C1_DTLZ1,3,554.5455,0.7545455,200.0,0.8363636,56.0,1.545455,0.2090909,,,
Morris,MOEAD,C1_DTLZ1,3,554.5455,0.7545455,200.0,0.8363636,56.0,1.545455,0.4272727,,,
Morris,MOEAD,C1_DTLZ1,3,554.5455,0.8363636,38.0,0.2636364,2.0,2.090909,0.3545455,,,
Morris,MOEAD,C1_DTLZ1,3,554.5455,0.8363636,38.0,0.7545455,2.0,2.090909,0.3545455,,,
Morris,MOEAD,C1_DTLZ1,3,554.5455,0.9181818,92.0,0.2636364,2.0,2.363636,0.3181818,,,
Morris,MOEAD,C1_DTLZ1,3,643.6364,0.1818182,56.0,0.7545455,182.0,2.090909,0.1363636,,,
Morris,MOEAD,C1_DTLZ1,3,643.6364,0.1818182,56.0,0.7545455,74.0,2.090909,0.1363636,,,
Morris,MOEAD,C1_DTLZ1,3,643.6364,0.3454545,200.0,0.8363636,20.0,1.818182,0.2454545,,,
Morris,MOEAD,C1_DTLZ1,3,643.6364,0.6727273,56.0,0.2636364,182.0,2.090909,0.1363636,,,
Morris,MOEAD,C1_DTLZ1,3,643.6364,0.6727273,56.0,0.7545455,182.0,2.090909,0.1363636,,,
Morris,MOEAD,C1_DTLZ1,3,643.6364,0.8363636,200.0,0.3454545,20.0,1.818182,0.2454545,,,
Morris,MOEAD,C1_DTLZ1,3,643.6364,0.8363636,200.0,0.8363636,20.0,1.818182,0.2454545,,,
Morris,MOEAD,C1_DTLZ1,3,643.6364,0.8363636,92.0,0.3454545,20.0,1.818182,0.2454545,,,
Morris,MOEAD,C1_DTLZ1,3,643.6364,0.8363636,92.0,0.3454545,20.0,1.818182,0.4636364,,,
Morris,MOEAD,C1_DTLZ1,3,643.6364,0.8363636,92.0,0.3454545,20.0,3.454545,0.4636364,,,
Morris,MOEAD,C1_DTLZ1,3,643.6364,1.0,182.0,0.3454545,92.0,1.545455,0.3181818,,,
Morris,MOEAD,C1_DTLZ1,3,643.6364,1.0,182.0,0.3454545,92.0,3.181818,0.1,,,
Morris,MOEAD,C1_DTLZ1,3,643.6364,1.0,182.0,0.3454545,92.0,3.181818,0.3181818,,,
Morris,MOEAD,C1_DTLZ1,3,643.6364,1.0,182.0,0.8363636,92.0,3.181818,0.1,,,
Morris,MOEAD,C1_DTLZ1,3,732.7273,0.1818182,110.0,0.4272727,110.0,3.727273,0.1,,,
Morris,MOEAD,C1_DTLZ1,3,732.7273,0.1818182,110.0,0.4272727,2.0,2.090909,0.1,,,
Morris,MOEAD,C1_DTLZ1,3,732.7273,0.1818182,110.0,0.4272727,2.0,3.727273,0.1,,,
Morris,MOEAD,C1_DTLZ1,3,732.7273,0.1818182,2.0,0.4272727,2.0,2.090909,0.1,,,
Morris,MOEAD,C1_DTLZ1,3,732.7273,0.1818182,2.0,0.9181818,2.0,2.090909,0.1,,,
Morris,MOEAD,C1_DTLZ1,3,732.7273,0.3454545,128.0,0.5090909,164.0,2.090909,0.4636364,,,
Morris,MOEAD,C1_DTLZ1,3,732.7273,0.3454545,20.0,0.5090909,164.0,2.090909,0.4636364,,,
Morris,MOEAD,C1_DTLZ1,3,732.7273,0.5090909,56.0,0.1818182,182.0,3.181818,0.3181818,,,
Morris,MOEAD,C1_DTLZ1,3,732.7273,0.7545455,74.0,0.1,92.0,1.818182,0.1363636,,,
Morris,MOEAD,C1_DTLZ1,3,732.7273,0.8363636,20.0,0.5090909,164.0,2.090909,0.4636364,,,
Morris,MOEAD,C1_DTLZ1,3,732.7273,0.8363636,20.0,1.0,164.0,2.090909,0.4636364,,,
Morris,MOEAD,C1_DTLZ1,3,732.7273,0.8363636,20.0,1.0,164.0,3.727273,0.2454545,,,
Morris,MOEAD,C1_DTLZ1,3,732.7273,0.8363636,20.0,1.0,164.0,3.727273,0.4636364,,,
Morris,MOEAD,C1_DTLZ1,3,732.7273,1.0,164.0,0.1818182,182.0,1.545455,0.3181818,,,
Morris,MOEAD,C1_DTLZ1,3,732.7273,1.0,164.0,0.6727273,182.0,1.545455,0.3181818,,,
Morris,MOEAD,C1_DTLZ1,3,732.7273,1.0,164.0,0.6727273,74.0,1.545455,0.3181818,,,
Morris,MOEAD,C1_DTLZ1,3,732.7273,1.0,20.0,0.2636364,164.0,1.545455,0.1,,,
Morris,MOEAD,C1_DTLZ1,3,732.7273,1.0,20.0,0.2636364,164.0,1.545455,0.3181818,,,
Morris,MOEAD,C1_DTLZ1,3,732.7273,1.0,56.0,0.1818182,182.0,1.545455,0.3181818,,,
Morris,MOEAD,C1_DTLZ1,3,732.7273,1.0,56.0,0.1818182,182.0,3.181818,0.3181818,,,
Morris,MOEAD,C1_DTLZ1,3,821.8182,0.1818182,74.0,0.2636364,146.0,1.545455,0.1363636,,,
Morris,MOEAD,C1_DTLZ1,3,821.8182,0.1818182,74.0,0.2636364,146.0,1.545455,0.3545455,,,
Morris,MOEAD,C1_DTLZ1,3,821.8182,0.1818182,74.0,0.7545455,146.0,1.545455,0.3545455,,,
Morris,MOEAD,C1_DTLZ1,3,821.8182,0.2636364,146.0,0.3454545,110.0,1.272727,0.2818182,,,
Morris,MOEAD,C1_DTLZ1,3,821.8182,0.3454545,110.0,0.4272727,200.0,2.090909,0.2454545,,,
Morris,MOEAD,C1_DTLZ1,3,821.8182,0.3454545,110.0,0.4272727,200.0,2.090909,0.4636364,,,
Morris,MOEAD,C1_DTLZ1,3,821.8182,0.3454545,110.0,0.4272727,200.0,3.727273,0.4636364,,,
Morris,MOEAD,C1_DTLZ1,3,821.8182,0.3454545,110.0,0.9181818,200.0,2.090909,0.2454545,,,
Morris,MOEAD,C1_DTLZ1,3,821.8182,0.3454545,2.0,0.9181818,200.0,2.090909,0.2454545,,,
Morris,MOEAD,C1_DTLZ1,3,821.8182,0.4272727,92.0,0.4272727,128.0,3.181818,0.2090909,,,
Morris,MOEAD,C1_DTLZ1,3,821.8182,0.4272727,92.0,0.9181818,128.0,3.181818,0.2090909,,,
Morris,MOEAD,C1_DTLZ1,3,821.8182,0.6727273,74.0,0.2636364,146.0,1.545455,0.1363636,,,
Morris,MOEAD,C1_DTLZ1,3,821.8182,0.7545455,146.0,0.3454545,110.0,1.272727,0.2818182,,,
Morris,MOEAD,C1_DTLZ1,3,910.9091,0.1,200.0,0.5909091,110.0,1.272727,0.2454545,,,
Morris,MOEAD,C1_DTLZ1,3,910.9091,0.1,200.0,0.5909091,110.0,1.272727,0.4636364,,,
Morris,MOEAD,C1_DTLZ1,3,910.9091,0.1,200.0,0.5909091,110.0,2.909091,0.2454545,,,
Morris,MOEAD,C1_DTLZ1,3,910.9091,0.1,92.0,0.1,110.0,2.909091,0.2454545,,,
Morris,MOEAD,C1_DTLZ1,3,910.9091,0.1,92.0,0.5909091,110.0,2.909091,0.2454545,,,
Morris,MOEAD,C1_DTLZ1,3,910.9091,0.2636364,92.0,0.7545455,92.0,3.727273,0.3181818,,,
Morris,MOEAD,CDTLZ2,3,1000.0,0.75454545,200.0,0.59090909,20.0,1.2727273,0.17272727,0.04854190754428922,0.007774074159932033,0.009424898230150962
Morris,MOEAD,CDTLZ2,3,1000.0,0.75454545,200.0,0.59090909,20.0,2.9090909,0.17272727,0.051157422927800275,0.011969453426200314,0.009984254796598653
Morris,MOEAD,CDTLZ2,3,1000.0,0.75454545,200.0,0.59090909,20.0,2.9090909,0.39090909,0.04991043962409591,0.009493954780696829,0.00883735156436071
Morris,MOEAD,CDTLZ2,3,1000.0,0.75454545,92.0,0.59090909,20.0,1.2727273,0.17272727,0.04870139202538706,0.010689700751761308,0.013033842977147105
Morris,MOEAD,CDTLZ2,3,1000.0,1.0,38.0,0.83636364,146.0,2.0909091,0.20909091,0.05165282261307141,0.01560587676377167,0.017840920018163297
Morris,MOEAD,CDTLZ2,3,1000.0,1.0,38.0,0.83636364,146.0,2.0909091,0.42727273,0.049774912746425745,0.018418097276801368,0.019147624929030816
Morris,MOEAD,CDTLZ2,3,109.0909,0.1818182,164.0,0.7545455,74.0,3.727273,0.3545455,0.008361044736628602,0.016416153732897225,0.018511160473586988
Morris,MOEAD,CDTLZ2,3,109.0909,0.1818182,56.0,0.7545455,74.0,2.090909,0.1363636,0.0167439246943785,0.012855741010676694,0.01878868213566755
Morris,MOEAD,CDTLZ2,3,109.0909,0.1818182,56.0,0.7545455,74.0,3.727273,0.1363636,0.01985704543413707,0.01453595846067667,0.018883737716210342
Morris,MOEAD,CDTLZ2,3,109.0909,0.1818182,56.0,0.7545455,74.0,3.727273,0.3545455,0.009475994917960109,0.01684558959542682,0.01895347052628192
Morris,MOEAD,CDTLZ2,3,109.0909,0.5090909,74.0,0.8363636,200.0,3.181818,0.1,0.011002316419838057,0.04508972781528824,0.057823415929993634
Morris,MOEAD,CDTLZ2,3,109.0909,0.5090909,74.0,0.8363636,92.0,3.181818,0.1,0.007963505444942743,0.014318038922291046,0.0173502059754873
Morris,MOEAD,CDTLZ2,3,109.0909,0.8363636,92.0,0.3454545,128.0,3.454545,0.4636364,0.00757025830672739,0.036873638231919845,0.04060149071946142
Morris,MOEAD,CDTLZ2,3,109.0909,0.8363636,92.0,0.3454545,20.0,3.454545,0.4636364,0.00113064420824098,0.00801663284654787,0.006574978502434665
Morris,MOEAD,CDTLZ2,3,109.0909,1.0,182.0,0.8363636,92.0,3.181818,0.1,0.0033846179673144732,0.017294799944920097,0.013413797422772586
Morris,MOEAD,CDTLZ2,3,109.0909,1.0,74.0,0.8363636,92.0,3.181818,0.1,0.003909141948726117,0.03493513865051439,0.0351929400139074
Morris,MOEAD,CDTLZ2,3,198.1818,0.1818182,2.0,0.9181818,2.0,2.090909,0.1,0.019413895599002962,0.00613422336555132,0.007060281337317315
Morris,MOEAD,CDTLZ2,3,198.1818,0.2636364,182.0,0.1,200.0,3.454545,0.3545455,0.018350744282446922,0.05548693638015372,0.0788456765251223
Morris,MOEAD,CDTLZ2,3,198.1818,0.2636364,182.0,0.1,92.0,3.454545,0.3545455,0.012285758506119578,0.058041782244231836,0.0809010632881549
Morris,MOEAD,CDTLZ2,3,198.1818,0.2636364,182.0,0.5909091,200.0,3.454545,0.3545455,0.012043000221977846,0.03342126899069474,0.04632284406629168
Morris,MOEAD,CDTLZ2,3,198.1818,0.2636364,74.0,0.1,92.0,3.454545,0.3545455,0.012561203705266593,0.06234758344869218,0.07928395558063288
Morris,MOEAD,CDTLZ2,3,198.1818,0.5090909,128.0,0.7545455,56.0,3.181818,0.3181818,0.00303048480720382,0.02308852013221249,0.0234765675785799
Morris,MOEAD,CDTLZ2,3,198.1818,0.5090909,56.0,0.1818182,182.0,3.181818,0.1,0.015071609622458645,0.02762522715794988,0.041153350599269375
Morris,MOEAD,CDTLZ2,3,198.1818,0.5090909,56.0,0.1818182,182.0,3.181818,0.3181818,0.010003951165101313,0.02899634894269816,0.040747597637344715
Morris,MOEAD,CDTLZ2,3,198.1818,0.6727273,2.0,0.9181818,2.0,2.090909,0.1,0.011484401963204388,0.002864580459368234,0.003437129203975603
Morris,MOEAD,CDTLZ2,3,198.1818,0.6727273,2.0,0.9181818,2.0,2.090909,0.3181818,0.004330891689131354,0.0014656192288443246,0.002998074749852409
Morris,MOEAD,CDTLZ2,3,198.1818,0.7545455,74.0,0.1,92.0,1.818182,0.1363636,0.007819220504891781,0.0226644212015789,0.02731426365132702
Morris,MOEAD,CDTLZ2,3,198.1818,0.7545455,74.0,0.1,92.0,1.818182,0.3545455,0.007112668706445544,0.025495758385229758,0.032055731430824234
Morris,MOEAD,CDTLZ2,3,198.1818,0.7545455,74.0,0.1,92.0,3.454545,0.3545455,0.01006178198603678,0.04741531675777687,0.06157310177243019
Morris,MOEAD,CDTLZ2,3,198.1818,0.8363636,20.0,1.0,164.0,3.727273,0.2454545,0.004723023510334539,0.02926460656164998,0.024921522406481548
Morris,MOEAD,CDTLZ2,3,198.1818,0.8363636,20.0,1.0,56.0,3.727273,0.2454545,0.002180813692092837,0.00938263017007227,0.010749093232884808
Morris,MOEAD,CDTLZ2,3,198.1818,1.0,128.0,0.7545455,164.0,1.545455,0.3181818,0.00414459809678354,0.01572238547849243,0.018828992453312546
Morris,MOEAD,CDTLZ2,3,198.1818,1.0,128.0,0.7545455,164.0,3.181818,0.3181818,0.004299977728182013,0.01939332430850042,0.02511153784671674
Morris,MOEAD,CDTLZ2,3,198.1818,1.0,128.0,0.7545455,56.0,3.181818,0.3181818,0.0017150786387059502,0.009456459392201548,0.01007761445043501
Morris,MOEAD,CDTLZ2,3,198.1818,1.0,20.0,0.2636364,164.0,1.545455,0.3181818,0.00955747135409554,0.02175759931441701,0.029934698205502205
Morris,MOEAD,CDTLZ2,3,198.1818,1.0,20.0,0.7545455,164.0,1.545455,0.3181818,0.005093040458510441,0.011714284585309244,0.01631628646606201
Morris,MOEAD,CDTLZ2,3,20.0,0.263636,92.0,0.345455,56.0,1.54545,0.427273,0.013671323206234846,0.03023898874505725,0.0390797087877274
Morris,MOEAD,CDTLZ2,3,20.0,0.2636364,92.0,0.3454545,164.0,1.545455,0.4272727,0.040256463287615084,0.09941100379884778,0.11310784920981497
Morris,MOEAD,CDTLZ2,3,20.0,0.2636364,92.0,0.3454545,164.0,3.181818,0.4272727,0.04898498667692099,0.10242645010199705,0.09991120427849083
Morris,MOEAD,CDTLZ2,3,20.0,0.4272727,200.0,0.7545455,110.0,4.0,0.1,0.11674209983920768,0.07473844327390673,0.08116245760505508
Morris,MOEAD,CDTLZ2,3,20.0,0.4272727,92.0,0.7545455,110.0,4.0,0.1,0.12423591488495735,0.09033679164190128,0.10125190628593889
Morris,MOEAD,CDTLZ2,3,20.0,0.427273,92.0,0.263636,2.0,2.36364,0.318182,0.00530005227034805,0.005877737964753303,0.00982660353195675
Morris,MOEAD,CDTLZ2,3,20.0,0.427273,92.0,0.263636,2.0,4.0,0.1,0.03398652033155625,0.0234139619727422,0.03277722364656776
Morris,MOEAD,CDTLZ2,3,20.0,0.427273,92.0,0.263636,2.0,4.0,0.318182,0.003908560171157263,0.0049150149624028385,0.008980138595920516
Morris,MOEAD,CDTLZ2,3,20.0,0.427273,92.0,0.754545,2.0,4.0,0.1,0.014656576858004007,0.008656428991198508,0.012357488426135222
Morris,MOEAD,CDTLZ2,3,20.0,0.5909091,128.0,0.1,74.0,3.181818,0.3909091,0.04294172376720285,0.07547531108041174,0.1092468777810903
Morris,MOEAD,CDTLZ2,3,20.0,0.5909091,128.0,0.5909091,182.0,1.545455,0.3909091,0.025832764092560356,0.04652558054880638,0.06084295164551998
Morris,MOEAD,CDTLZ2,3,20.0,0.5909091,128.0,0.5909091,182.0,3.181818,0.3909091,0.024041501737158466,0.14187357670789097,0.15227432776924243
Morris,MOEAD,CDTLZ2,3,20.0,0.5909091,128.0,0.5909091,74.0,3.181818,0.3909091,0.008547904385233623,0.04155925239662828,0.058439776126225966
Morris,MOEAD,CDTLZ2,3,20.0,0.5909091,20.0,0.5909091,182.0,1.545455,0.1727273,0.01858818757577038,0.026853117274990776,0.03223123176714036
Morris,MOEAD,CDTLZ2,3,20.0,0.5909091,20.0,0.5909091,182.0,1.545455,0.3909091,0.027563896709092414,0.041277488289305386,0.05043480632234545
Morris,MOEAD,CDTLZ2,3,20.0,0.754545,92.0,0.345455,56.0,1.54545,0.427273,0.007051619779542797,0.0232430758852392,0.04131542609344469
