method,algo,problem,dim,pop,pSBX,sbxDI,pm,pmDI,mode,neighbour,GD,IGD,HV
Morris,MOEAD,DTLZ1,3,20,0.427273,92,0.754545,2,4,0.1,8.136543655,2.509961676,0
Morris,MOEAD,DTLZ1,3,20,0.5909091,128,0.1,74,3.181818,0.3909091,10.53506204,6.055960326,0
Morris,MOEAD,DTLZ1,3,20,0.5909091,128,0.5909091,182,1.545455,0.3909091,8.652399422,7.564049151,0
Morris,MOEAD,DTLZ1,3,20,0.5909091,128,0.5909091,182,3.181818,0.3909091,9.176534671,7.498385732,0
Morris,MOEAD,DTLZ1,3,20,0.5909091,128,0.5909091,74,3.181818,0.3909091,9.092563292,8.304044299,0
Morris,MOEAD,DTLZ1,3,20,0.5909091,20,0.5909091,182,1.545455,0.1727273,8.418632713,6.036109288,0
Morris,MOEAD,DTLZ1,3,20,0.5909091,20,0.5909091,182,1.545455,0.3909091,8.776222229,7.462592749,0
Morris,MOEAD,DTLZ1,3,20,0.754545,92,0.345455,56,1.54545,0.427273,7.723371528,5.877326849,0
Morris,MOEAD,DTLZ1,3,20,0.754545,92,0.836364,56,1.54545,0.427273,8.567457528,6.341520607,0
Morris,MOEAD,DTLZ1,3,20,0.7545455,200,0.8363636,56,1.545455,0.4272727,8.215586306,6.065371671,0
Morris,MOEAD,DTLZ1,3,20,0.8363636,146,0.2636364,110,2.090909,0.3545455,9.275200101,7.536697003,0
Morris,MOEAD,DTLZ1,3,20,0.8363636,146,0.2636364,110,3.727273,0.1363636,8.561225486,8.801049262,0
Morris,MOEAD,DTLZ1,3,20,0.8363636,146,0.2636364,110,3.727273,0.3545455,9.637625101,7.435344413,0
Morris,MOEAD,DTLZ1,3,20,0.8363636,146,0.2636364,2,2.090909,0.3545455,3.048485775,2.236714379,0
Morris,MOEAD,DTLZ1,3,20,0.836364,38,0.263636,2,2.09091,0.354545,2.635295783,1.81461157,1.53E-06
Morris,MOEAD,DTLZ1,3,287.2727,0.2636364,146,0.3454545,110,1.272727,0.2818182,1.782799816,5.913832576,0
Morris,MOEAD,DTLZ1,3,287.2727,0.2636364,146,0.8363636,110,1.272727,0.2818182,1.412962113,7.199331004,0
Morris,MOEAD,DTLZ1,3,287.2727,0.2636364,146,0.8363636,110,2.909091,0.2818182,2.104043702,6.717156274,0
Morris,MOEAD,DTLZ1,3,287.2727,0.2636364,38,0.8363636,110,2.909091,0.2818182,2.168879123,7.190777559,0
Morris,MOEAD,DTLZ1,3,287.2727,0.2636364,38,0.8363636,2,2.909091,0.2818182,1.398113694,1.878813122,0.009570495
Morris,MOEAD,DTLZ1,3,287.2727,0.2636364,38,0.8363636,2,2.909091,0.5,1.097413035,1.830095166,0.003652293
Morris,MOEAD,DTLZ1,3,287.2727,0.3454545,2,0.9181818,200,2.090909,0.2454545,2.766215002,7.445335217,0
Morris,MOEAD,DTLZ1,3,287.2727,0.4272727,92,0.4272727,128,3.181818,0.2090909,2.356807323,6.185926516,0
Morris,MOEAD,DTLZ1,3,287.2727,0.4272727,92,0.4272727,128,3.181818,0.4272727,1.802215015,7.044651102,0
Morris,MOEAD,DTLZ1,3,287.2727,0.6727273,182,0.2636364,38,3.181818,0.1363636,2.221788202,5.954256439,0
Morris,MOEAD,DTLZ1,3,287.2727,0.6727273,74,0.2636364,146,1.545455,0.1363636,2.600726108,9.488456122,0
Morris,MOEAD,DTLZ1,3,287.2727,0.6727273,74,0.2636364,146,3.181818,0.1363636,2.54769374,7.167250091,0
Morris,MOEAD,DTLZ1,3,287.2727,0.6727273,74,0.2636364,38,3.181818,0.1363636,2.191101566,4.648249529,0
Morris,MOEAD,DTLZ1,3,287.2727,0.8363636,2,0.9181818,200,2.090909,0.2454545,2.350982523,8.55540929,0
Morris,MOEAD,DTLZ1,3,287.2727,0.8363636,2,0.9181818,92,2.090909,0.2454545,2.290459079,7.752868783,0
Morris,MOEAD,DTLZ1,3,287.2727,0.9181818,200,0.4272727,20,1.545455,0.4272727,1.204553046,4.155380222,0
Morris,MOEAD,DTLZ1,3,287.2727,0.9181818,200,0.4272727,20,3.181818,0.4272727,1.364561888,4.993326704,0
Morris,MOEAD,DTLZ1,3,287.2727,0.9181818,92,0.4272727,128,3.181818,0.4272727,1.838307623,6.70843124,0
Morris,MOEAD,DTLZ1,3,287.2727,0.9181818,92,0.4272727,20,3.181818,0.4272727,1.223332274,4.673120686,0
Morris,MOEAD,DTLZ1,3,376.3636,0.1,200,0.5909091,110,1.272727,0.4636364,1.564211198,5.12101172,0
Morris,MOEAD,DTLZ1,3,376.3636,0.2636364,92,0.2636364,200,2.090909,0.1,4.207048088,6.867162164,0
Morris,MOEAD,DTLZ1,3,376.3636,0.2636364,92,0.2636364,200,3.727273,0.1,4.144763925,7.356265743,0
Morris,MOEAD,DTLZ1,3,376.3636,0.2636364,92,0.2636364,200,3.727273,0.3181818,2.723954173,7.895689465,0
Morris,MOEAD,DTLZ1,3,376.3636,0.2636364,92,0.7545455,200,3.727273,0.3181818,2.327415715,6.227007858,0
Morris,MOEAD,DTLZ1,3,376.3636,0.2636364,92,0.7545455,92,3.727273,0.3181818,2.388268532,6.291774144,0
Morris,MOEAD,DTLZ1,3,376.3636,0.5909091,200,0.5909091,110,1.272727,0.4636364,1.642500598,6.681114586,0
Morris,MOEAD,DTLZ1,3,376.3636,0.5909091,200,0.5909091,2,1.272727,0.4636364,0.723841111,2.234935084,0.001374276
Morris,MOEAD,DTLZ1,3,376.3636,0.7545455,200,0.2636364,200,2.090909,0.1,3.160888558,7.618863761,0
Morris,MOEAD,DTLZ1,3,376.3636,0.7545455,92,0.2636364,200,2.090909,0.1,2.866869183,6.578116765,0
Morris,MOEAD,DTLZ1,3,465.4545,0.2636364,92,0.1,128,1.272727,0.1727273,2.184903262,5.2424578,0
Morris,MOEAD,DTLZ1,3,465.4545,0.2636364,92,0.1,20,1.272727,0.1727273,2.116703386,6.178542136,0
Morris,MOEAD,DTLZ1,3,465.4545,0.2636364,92,0.5909091,20,1.272727,0.1727273,1.243399218,6.043900238,0
Morris,MOEAD,DTLZ1,3,465.4545,0.5090909,146,0.3454545,38,3.727273,0.2090909,2.04394145,7.413587154,0
Morris,MOEAD,DTLZ1,3,465.4545,0.5090909,38,0.3454545,38,2.090909,0.2090909,1.654654251,7.151272671,0
Morris,MOEAD,DTLZ1,3,465.4545,0.5090909,38,0.3454545,38,3.727273,0.2090909,1.860877152,6.828095193,0
Morris,MOEAD,DTLZ1,3,465.4545,0.5090909,38,0.8363636,146,2.090909,0.2090909,1.890451438,7.721920426,0
Morris,MOEAD,DTLZ1,3,465.4545,0.5090909,38,0.8363636,38,2.090909,0.2090909,1.701918142,6.576178463,0
Morris,MOEAD,DTLZ1,3,465.4545,0.7545455,92,0.5909091,20,1.272727,0.1727273,1.083330897,4.597968284,0
Morris,MOEAD,DTLZ1,3,465.4545,1,38,0.8363636,146,2.090909,0.2090909,1.583640429,8.209450405,0
Morris,MOEAD,DTLZ1,3,554.5455,0.1,20,0.5909091,182,1.545455,0.1727273,6.490844381,6.301035771,0
Morris,MOEAD,DTLZ1,3,554.5455,0.3454545,38,0.7545455,2,2.090909,0.3545455,5.048825095,2.742297212,0.009101207
Morris,MOEAD,DTLZ1,3,554.5455,0.4272727,92,0.2636364,2,2.363636,0.3181818,5.14933228,2.721348879,0.001656294
Morris,MOEAD,DTLZ1,3,554.5455,0.5909091,20,0.5909091,182,1.545455,0.1727273,5.78789147,6.841588777,0
Morris,MOEAD,DTLZ1,3,554.5455,0.7545455,200,0.8363636,56,1.545455,0.2090909,5.760478245,6.602285241,0
Morris,MOEAD,DTLZ1,3,554.5455,0.7545455,200,0.8363636,56,1.545455,0.4272727,5.588510453,6.086697988,0
Morris,MOEAD,DTLZ1,3,554.5455,0.8363636,38,0.2636364,2,2.090909,0.3545455,5.127281962,2.365183579,0.019780432
Morris,MOEAD,DTLZ1,3,554.5455,0.8363636,38,0.7545455,2,2.090909,0.3545455,4.894446138,2.23512074,0.024381907
Morris,MOEAD,DTLZ1,3,554.5455,0.9181818,92,0.2636364,2,2.363636,0.3181818,4.966765937,2.125780425,3.92E-05
Morris,MOEAD,DTLZ1,3,643.6364,0.1818182,56,0.7545455,182,2.090909,0.1363636,5.859567369,6.010013634,0
Morris,MOEAD,DTLZ1,3,643.6364,0.1818182,56,0.7545455,74,2.090909,0.1363636,5.648895048,5.874896305,0
Morris,MOEAD,DTLZ1,3,643.6364,0.3454545,200,0.8363636,20,1.818182,0.2454545,5.166894219,5.450979862,0
Morris,MOEAD,DTLZ1,3,643.6364,0.6727273,56,0.2636364,182,2.090909,0.1363636,5.795125021,5.847788009,0
Morris,MOEAD,DTLZ1,3,643.6364,0.6727273,56,0.7545455,182,2.090909,0.1363636,5.463308257,5.964169507,0
Morris,MOEAD,DTLZ1,3,643.6364,0.8363636,200,0.3454545,20,1.818182,0.2454545,5.273449068,5.534519746,0
Morris,MOEAD,DTLZ1,3,643.6364,0.8363636,200,0.8363636,20,1.818182,0.2454545,4.971055503,3.9586665,0.004833237
