method,algo,problem,dim,pop,pSBX,sbxDI,pm,pmDI,tournament,GD,IGD,HV
Morris,NSGAIII,DTLZ1,3,376.3636,0.7545455,200,0.2636364,128,7.818182,19.43842669,6.392146361,0
Morris,NSGAIII,DTLZ1,3,376.3636,0.7545455,200,0.7545455,128,7.818182,20.09940173,5.592182971,0
Morris,NSGAIII,DTLZ1,3,376.3636,0.9181818,200,0.5909091,164,4.181818,17.45175834,4.287012785,0
Morris,NSGAIII,DTLZ1,3,376.3636,0.9181818,200,0.5909091,164,8.545455,19.03187762,4.759141299,0
Morris,NSGAIII,DTLZ1,3,465.4545,0.1,110,0.1,164,7.818182,33.80226964,11.75920438,0
Morris,NSGAIII,DTLZ1,3,465.4545,0.2636364,110,0.1818182,200,2.727273,27.95125094,6.821844784,0
Morris,NSGAIII,DTLZ1,3,465.4545,0.2636364,110,0.6727273,200,2.727273,28.02728093,11.60769052,0
Morris,NSGAIII,DTLZ1,3,465.4545,0.2636364,2,0.6727273,200,2.727273,28.08695059,12.49167413,0
Morris,NSGAIII,DTLZ1,3,465.4545,0.2636364,2,0.6727273,92,2.727273,27.43435037,12.38669184,0
Morris,NSGAIII,DTLZ1,3,465.4545,0.3454545,200,0.5909091,200,7.818182,28.00290391,12.31148221,0
Morris,NSGAIII,DTLZ1,3,465.4545,0.3454545,92,0.5909091,200,7.818182,27.44242927,10.61422538,0
Morris,NSGAIII,DTLZ1,3,465.4545,0.3454545,92,0.5909091,92,7.818182,27.12333566,8.148546234,0
Morris,NSGAIII,DTLZ1,3,465.4545,0.4272727,128,0.9181818,200,7.090909,25.53324561,7.199315513,0
Morris,NSGAIII,DTLZ1,3,465.4545,0.4272727,20,0.9181818,200,7.090909,26.26458331,11.0616599,0
Morris,NSGAIII,DTLZ1,3,465.4545,0.5909091,110,0.1,164,7.818182,23.99070203,7.256698179,0
Morris,NSGAIII,DTLZ1,3,465.4545,0.5909091,110,0.5909091,164,7.818182,24.10119866,10.96728073,0
Morris,NSGAIII,DTLZ1,3,465.4545,0.5909091,2,0.5909091,164,7.818182,25.40825504,9.518788436,0
Morris,NSGAIII,DTLZ1,3,465.4545,0.5909091,2,0.5909091,56,7.818182,24.94870759,7.995569907,0
Morris,NSGAIII,DTLZ1,3,465.4545,0.8363636,92,0.1,92,3.454545,20.59821517,6.947701383,0
Morris,NSGAIII,DTLZ1,3,465.4545,0.8363636,92,0.5909091,92,3.454545,20.98444235,6.775854761,0
Morris,NSGAIII,DTLZ1,3,465.4545,0.8363636,92,0.5909091,92,7.818182,22.08776287,6.299753754,0
